# Photons/cm2/s/nm/W(of effective power),,,,,,,
Lambda,Kowal.Incandescent,Kowal.Halogen,Kowal.LED,Kowal.CFL,Kowal.UFT,Kowal.CFT,Kowal.SFT
280,0,0,0,0,0,0,0
281,,,,0,0,0,0
282,0,0,0,0,0,0,0
283,,,,0,0,0,0
284,0,0,0,0,0,0,0
285,,,,0,0,0,0
286,0,0,0,0,0,0,0
287,,,,0,0,0,0
288,0,0,0,0,0,0,0
289,,,,0,0,0,0
290,0,0,0,0,0,0,0
291,,,,0,0,0,0
292,0,0,0,0,0,0,0
293,,,,0,0,0,0
294,0,0,0,0,0,0,0
295,,,,0,0,0,0
296,0,0,0,0,0,0,0
297,,,,0,3.37E+10,0,0
298,0,0,0,0,0,0,0
299,,,,0,0,0,0
300,6348282051,0,0,0,0,0,0
301,,,,0,6.24E+10,0,1.43E+11
302,7845679487,0,0,0,7.56E+10,0,1.61E+11
303,,,,0,6.56E+10,0,1.30E+11
304,9160076923,0,0,0,5.49E+10,0,1.31E+11
305,,,,0,6.38E+10,0,1.53E+11
306,9397166667,0,0,0,8.02E+10,0,1.85E+11
307,,,,0,1.00E+11,0,2.19E+11
308,11282000000,6860307692,0,0,1.20E+11,0,2.71E+11
309,,,,0,1.39E+11,0,3.13E+11
310,1.33E+10,8174987179,0,0,1.70E+11,0,3.87E+11
311,,,,0,3.82E+11,0,1.19E+12
312,1.50E+10,11244923077,0,0,1.04E+12,0,2.35E+12
313,,,,0,1.14E+12,0,2.10E+12
314,1.62E+10,1.31E+10,0,0,5.97E+11,0,8.49E+11
315,,,,0,2.80E+11,0,5.58E+11
316,1.94E+10,1.58E+10,0,0,2.86E+11,0,5.97E+11
317,,,,0,2.97E+11,0,6.40E+11
318,2.13E+10,1.90E+10,0,0,3.00E+11,0,6.58E+11
319,,,,0,3.05E+11,0,6.80E+11
320,2.38E+10,2.29E+10,0,0,3.11E+11,0,6.90E+11
321,,,,0,3.14E+11,0,7.07E+11
322,2.65E+10,2.67E+10,0,0,3.10E+11,0,7.14E+11
323,,,,0,3.08E+11,0,7.09E+11
324,2.96E+10,3.10E+10,0,0,3.07E+11,0,7.16E+11
