Wavelength,X,yield
0.28,4.91E-20,0.6
0.281,4.86E-20,0.582
0.282,4.79E-20,0.563
0.283,4.71E-20,0.544
0.284,4.62E-20,0.526
0.285,4.54E-20,0.507
0.286,4.44E-20,0.489
0.287,4.36E-20,0.471
0.288,4.28E-20,0.453
0.289,4.15E-20,0.436
0.29,4.06E-20,0.419
0.291,3.95E-20,0.402
0.292,3.82E-20,0.385
0.293,3.71E-20,0.37
0.294,3.57E-20,0.354
0.295,3.42E-20,0.339
0.296,3.26E-20,0.324
0.297,3.11E-20,0.31
0.298,2.98E-20,0.296
0.299,2.82E-20,0.283
0.3,2.67E-20,0.27
0.301,2.58E-20,0.258
0.302,2.45E-20,0.246
0.303,2.30E-20,0.224
0.304,2.18E-20,0.195
0.305,2.05E-20,0.17
0.306,1.89E-20,0.147
0.307,1.75E-20,0.127
0.308,1.61E-20,0.111
0.309,1.49E-20,0.096
0.31,1.36E-20,0.084
0.311,1.24E-20,0.073
0.312,1.14E-20,0.064
0.313,1.06E-20,0.056
0.314,9.44E-21,0.05
0.315,8.37E-21,0.044
0.316,7.60E-21,0.039
0.317,6.84E-21,0.035
0.318,5.98E-21,0.031
0.319,5.23E-21,0.028
0.32,4.55E-21,0.025
0.321,4.11E-21,0.023
0.322,3.48E-21,0.021
0.323,2.94E-21,0.019
0.324,2.48E-21,0.017
0.325,2.10E-21,0.016
0.326,1.74E-21,0.014
0.327,1.41E-21,0.013
0.328,1.13E-21,0.012
0.329,9.13E-22,0.011
0.33,7.40E-22,0.01
0.331,5.86E-22,0.009
0.332,4.65E-22,0.009
0.333,3.75E-22,0.008
0.334,3.11E-22,0.007
0.335,2.48E-22,0.007
0.336,1.99E-22,0.006
0.337,1.62E-22,0.006
0.338,1.35E-22,0.005
0.339,1.13E-22,0.005
0.34,9.12E-23,0.005
0.341,7.29E-23,0.004
0.342,5.83E-23,0.004
0.343,4.94E-23,0.004
0.344,3.65E-23,0.004
0.345,3.01E-23,0.003
0.346,2.35E-23,0.003
0.347,1.58E-23,0.003
0.348,1.11E-23,0.003
0.349,1.07E-23,0.002
0.35,0.00E+00,0
