Wavelength,X,yield
0.25,1.80E-21,1
0.252,2.05E-21,1
0.253,2.20E-21,1
0.254,2.33E-21,1
0.255,2.45E-21,1
0.256,2.56E-21,1
0.257,2.65E-21,1
0.258,2.74E-21,1
0.259,2.83E-21,1
0.26,2.99E-21,1
0.261,3.24E-21,1
0.262,3.47E-21,1
0.263,3.58E-21,1
0.264,3.93E-21,1
0.265,4.67E-21,1
0.266,5.10E-21,1
0.267,5.38E-21,1
0.268,5.74E-21,1
0.269,6.13E-21,1
0.27,6.64E-21,1
0.271,7.20E-21,1
0.272,7.77E-21,1
0.273,8.37E-21,1
0.274,8.94E-21,1
0.275,9.55E-21,1
0.276,1.04E-20,1
0.277,1.12E-20,1
0.278,1.19E-20,1
0.279,1.27E-20,1
0.28,1.27E-20,1
0.281,1.26E-20,1
0.282,1.26E-20,1
0.283,1.28E-20,1
0.284,1.33E-20,1
0.285,1.38E-20,1
0.286,1.44E-20,1
0.287,1.50E-20,1
0.288,1.57E-20,1
0.289,1.63E-20,1
0.29,1.71E-20,1
0.291,1.78E-20,1
0.292,1.86E-20,1
0.293,1.95E-20,1
0.294,2.05E-20,1
0.295,2.15E-20,1
0.296,2.26E-20,1
0.297,2.37E-20,1
0.298,2.48E-20,1
0.299,2.60E-20,1
0.3,2.73E-20,1
0.301,2.85E-20,1
0.302,2.99E-20,1
0.303,3.13E-20,1
0.304,3.27E-20,1
0.305,3.39E-20,1
0.306,3.51E-20,1
0.307,3.64E-20,1
0.308,3.77E-20,1
0.309,3.92E-20,1
0.31,4.07E-20,1
0.311,4.25E-20,1
0.312,4.40E-20,1
0.313,4.44E-20,1
0.314,4.50E-20,1
0.315,4.59E-20,1
0.316,4.75E-20,1
0.317,4.90E-20,1
0.318,5.05E-20,1
0.319,5.19E-20,1
0.32,5.31E-20,1
0.321,5.43E-20,1
0.322,5.52E-20,1
0.323,5.60E-20,1
0.324,5.67E-20,1
0.325,5.67E-20,1
0.326,5.62E-20,1
0.327,5.64E-20,1
0.328,5.71E-20,1
0.329,5.76E-20,1
0.33,5.80E-20,1
0.331,5.95E-20,1
0.332,6.23E-20,1
0.333,6.40E-20,1
0.334,6.38E-20,1
0.335,6.24E-20,1
0.336,6.01E-20,1
0.337,5.79E-20,1
0.338,5.63E-20,1
0.339,5.56E-20,1
0.34,5.52E-20,1
0.341,5.54E-20,1
0.342,5.53E-20,1
0.343,5.47E-20,1
0.344,5.41E-20,1
0.345,5.40E-20,1
0.346,5.48E-20,1
0.347,5.90E-20,1
0.348,6.08E-20,1
0.349,6.00E-20,1
0.35,5.53E-20,1
0.351,5.03E-20,1
0.352,4.50E-20,1
0.353,4.03E-20,1
0.354,3.75E-20,1
0.355,3.55E-20,1
0.356,3.45E-20,1
0.357,3.46E-20,1
0.358,3.49E-20,1
0.359,3.41E-20,1
0.36,3.23E-20,1
0.361,2.95E-20,1
0.362,2.81E-20,1
0.363,2.91E-20,1
0.364,3.25E-20,1
0.365,3.54E-20,1
0.366,3.30E-20,1
0.367,2.78E-20,1
0.368,2.15E-20,1
0.369,1.59E-20,1
0.37,1.19E-20,1
0.371,8.99E-21,1
0.372,7.22E-21,1
0.373,5.86E-21,1
0.374,4.69E-21,1
0.375,3.72E-21,1
0.376,3.57E-21,1
0.377,3.55E-21,1
0.378,2.83E-21,1
0.379,1.69E-21,1
0.38,8.29E-24,1
0.381,0,1
