Wavelength,X,yield
0.289,3.80E-20,0.325
0.29,3.73E-20,0.326
0.291,3.64E-20,0.327
0.292,3.65E-20,0.329
0.293,3.68E-20,0.33
0.294,3.73E-20,0.331
0.295,3.81E-20,0.333
0.296,3.82E-20,0.334
0.297,3.92E-20,0.335
0.298,4.07E-20,0.337
0.299,4.12E-20,0.338
0.3,4.05E-20,0.339
0.301,3.91E-20,0.341
0.302,3.78E-20,0.342
0.303,3.57E-20,0.343
0.304,3.35E-20,0.345
0.305,3.24E-20,0.346
0.306,3.22E-20,0.347
0.307,3.20E-20,0.349
0.308,3.15E-20,0.35
0.309,3.12E-20,0.359
0.31,3.10E-20,0.369
0.311,3.22E-20,0.378
0.312,3.34E-20,0.387
0.313,3.39E-20,0.397
0.314,3.23E-20,0.406
0.315,2.81E-20,0.415
0.316,2.65E-20,0.424
0.317,2.46E-20,0.434
0.318,2.21E-20,0.443
0.319,1.93E-20,0.452
0.32,1.85E-20,0.462
0.321,1.89E-20,0.471
0.322,1.77E-20,0.48
0.323,1.72E-20,0.49
0.324,1.68E-20,0.499
0.325,1.60E-20,0.508
0.326,1.61E-20,0.517
0.327,1.70E-20,0.527
0.328,1.94E-20,0.536
0.329,1.86E-20,0.545
0.33,1.69E-20,0.555
0.331,1.13E-20,0.564
0.332,1.05E-20,0.573
0.333,9.66E-21,0.583
0.334,9.19E-21,0.592
0.335,7.37E-21,0.601
0.336,6.30E-21,0.611
0.337,5.89E-21,0.62
0.338,6.47E-21,0.629
0.339,5.85E-21,0.638
0.34,5.53E-21,0.648
0.341,5.63E-21,0.657
0.342,5.10E-21,0.666
0.343,4.99E-21,0.676
0.344,6.49E-21,0.685
0.345,6.24E-21,0.694
0.346,7.33E-21,0.704
0.347,6.31E-21,0.713
0.348,6.04E-21,0.722
0.349,4.15E-21,0.731
0.35,3.91E-21,0.741
0.351,3.95E-21,0.75
0.352,4.23E-21,0.715
0.353,4.15E-21,0.681
0.354,4.03E-21,0.649
0.355,4.22E-21,0.619
0.356,4.43E-21,0.589
0.357,4.31E-21,0.562
0.358,4.71E-21,0.535
0.359,5.03E-21,0.51
0.36,5.46E-21,0.486
0.361,6.27E-21,0.463
0.362,7.06E-21,0.442
0.363,6.39E-21,0.421
0.364,6.80E-21,0.401
0.365,6.65E-21,0.382
0.366,7.43E-21,0.364
0.367,8.60E-21,0.347
0.368,1.01E-20,0.331
0.369,1.06E-20,0.315
0.37,1.14E-20,0.3
0.371,1.19E-20,0.286
0.372,1.14E-20,0.273
0.373,1.21E-20,0.26
0.374,1.35E-20,0.248
0.375,1.33E-20,0.236
0.376,1.38E-20,0.225
0.377,1.47E-20,0.214
0.378,1.61E-20,0.204
0.379,1.53E-20,0.195
0.38,1.93E-20,0.186
0.381,2.46E-20,0.177
0.382,2.02E-20,0.169
0.383,2.07E-20,0.161
0.384,1.94E-20,0.153
0.385,1.89E-20,0.146
0.386,1.84E-20,0.139
0.387,2.29E-20,0.132
0.388,3.00E-20,0.126
0.389,3.21E-20,0.12
0.39,3.48E-20,0.115
0.391,3.92E-20,0.109
0.392,3.80E-20,0.104
0.393,2.85E-20,0.099
0.394,3.15E-20,0.095
0.395,3.86E-20,0.09
0.396,3.68E-20,0.086
0.397,3.36E-20,0.082
0.398,4.32E-20,0.078
0.399,4.35E-20,0.074
0.4,3.87E-20,0.071
0.401,4.46E-20,0.067
0.402,5.84E-20,0.064
0.403,7.16E-20,0.061
0.404,6.24E-20,0.058
0.405,4.49E-20,0.056
0.406,4.48E-20,0.053
0.407,4.07E-20,0.051
0.408,3.44E-20,0.048
0.409,4.01E-20,0.046
0.41,5.66E-20,0.044
0.411,7.22E-20,0.042
0.412,7.41E-20,0.04
0.413,1.08E-19,0.038
0.414,1.01E-19,0.036
0.415,1.02E-19,0.034
0.416,6.07E-20,0.033
0.417,6.83E-20,0.031
0.418,7.87E-20,0.03
0.419,9.13E-20,0.028
0.42,5.60E-20,0.027
0.421,7.19E-20,0.026
0.422,6.99E-20,0.025
0.423,1.31E-19,0.023
0.424,8.24E-20,0.022
0.425,1.05E-19,0.021
0.426,1.64E-19,0.02
0.427,1.61E-19,0.019
0.428,2.14E-19,0.018
0.429,6.50E-20,0.018
0.43,7.03E-20,0.017
0.431,6.52E-20,0.016
0.432,6.08E-20,0.015
0.433,5.66E-20,0.014
0.434,6.81E-20,0.014
0.435,7.66E-20,0.013
0.436,1.32E-19,0.013
0.437,9.19E-20,0.012
0.438,1.38E-19,0.011
0.439,1.21E-19,0.011
0.44,2.59E-19,0.01
0.441,1.31E-19,0.01
0.442,9.01E-20,0.009
0.443,1.11E-19,0.009
0.444,1.35E-19,0.009
0.445,1.51E-19,0.008
0.446,7.82E-20,0.008
0.447,3.73E-20,0.007
0.448,4.14E-20,0.007
0.449,5.53E-20,0.007
0.45,8.68E-20,0.006
0.451,1.38E-19,0.006
0.452,1.60E-19,0.006
0.453,3.04E-19,0.006
0.454,2.69E-19,0.005
0.455,5.20E-19,0.005
0.456,1.57E-19,0.005
0.457,2.66E-20,0.005
0.458,2.20E-20,0.004
0.459,9.02E-21,0.004
0.46,1.20E-20,0.004
0.461,8.83E-21,0.004
0.462,5.88E-21,0.004
0.463,3.22E-21,0
