Wavelength,X,yield
0.24,7.82E-22,0.27
0.241,7.75E-22,0.272
0.242,1.23E-21,0.274
0.243,1.59E-21,0.276
0.244,1.10E-21,0.278
0.245,1.31E-21,0.28
0.246,1.63E-21,0.282
0.247,1.51E-21,0.284
0.248,2.34E-21,0.286
0.249,3.18E-21,0.288
0.25,2.57E-21,0.29
0.251,2.04E-21,0.291
0.252,3.37E-21,0.292
0.253,2.89E-21,0.293
0.254,3.42E-21,0.294
0.255,4.50E-21,0.295
0.256,6.28E-21,0.296
0.257,4.43E-21,0.297
0.258,3.07E-21,0.298
0.259,6.17E-21,0.299
0.26,6.05E-21,0.3
0.261,6.59E-21,0.314
0.262,6.03E-21,0.329
0.263,1.08E-20,0.343
0.264,9.47E-21,0.357
0.265,5.31E-21,0.371
0.266,5.39E-21,0.386
0.267,1.36E-20,0.4
0.268,1.24E-20,0.414
0.269,9.91E-21,0.429
0.27,9.63E-21,0.443
0.271,1.94E-20,0.458
0.272,1.43E-20,0.472
0.273,8.11E-21,0.487
0.274,6.58E-21,0.501
0.275,2.14E-20,0.516
0.276,2.58E-20,0.53
0.277,1.57E-20,0.545
0.278,1.04E-20,0.559
0.279,2.45E-20,0.575
0.28,2.34E-20,0.596
0.281,1.56E-20,0.616
0.282,9.73E-21,0.637
0.283,7.22E-21,0.658
0.284,4.27E-20,0.677
0.285,4.05E-20,0.691
0.286,2.10E-20,0.706
0.287,1.15E-20,0.721
0.288,3.17E-20,0.735
0.289,3.23E-20,0.743
0.29,1.17E-20,0.733
0.291,1.84E-20,0.723
0.292,7.97E-21,0.712
0.293,3.13E-20,0.702
0.294,7.15E-20,0.691
0.295,4.05E-20,0.681
0.296,2.47E-20,0.671
0.297,1.37E-20,0.66
0.298,4.22E-20,0.65
0.299,3.18E-20,0.65
0.3,9.64E-21,0.684
0.301,1.63E-20,0.717
0.302,8.54E-21,0.742
0.303,3.02E-20,0.764
0.304,7.22E-20,0.77
0.305,4.75E-20,0.732
0.306,4.29E-20,0.694
0.307,1.78E-20,0.699
0.308,1.39E-20,0.72
0.309,3.25E-20,0.732
0.31,1.74E-20,0.72
0.311,4.62E-21,0.707
0.312,1.19E-20,0.707
0.313,9.06E-21,0.712
0.314,5.64E-20,0.711
0.315,5.57E-20,0.694
0.316,2.56E-20,0.677
0.317,5.78E-20,0.672
0.318,3.15E-20,0.67
0.319,9.78E-21,0.668
0.32,1.19E-20,0.666
0.321,1.60E-20,0.664
0.322,7.22E-21,0.643
0.323,3.28E-21,0.616
0.324,8.58E-21,0.589
0.325,1.58E-20,0.562
0.326,6.88E-20,0.535
0.327,4.37E-20,0.482
0.328,1.22E-20,0.42
0.329,3.12E-20,0.383
0.33,3.87E-20,0.425
0.331,1.41E-20,0.466
0.332,3.47E-21,0.427
0.333,2.14E-21,0.361
0.334,1.59E-21,0.287
0.335,9.67E-22,0.192
0.336,1.26E-21,0.096
0.337,3.83E-21,0.063
0.338,1.92E-20,0.05
0.339,5.38E-20,0.033
0.34,3.15E-20,0
