Wavelength,X,yield
0.1985,3.95E-19,1
0.199,1.61E-19,1
0.1995,7.75E-20,1
0.2,3.76E-20,1
0.2005,2.51E-20,1
0.201,1.83E-20,1
0.2015,1.36E-20,1
0.202,1.16E-20,1
0.2025,8.97E-21,1
0.203,4.62E-21,1
0.2035,3.18E-21,1
0.204,2.42E-21,1
0.2045,2.01E-21,1
0.205,1.77E-21,1
0.2055,1.64E-21,1
0.206,1.54E-21,1
0.2065,1.52E-21,1
0.207,1.54E-21,1
0.2075,1.62E-21,1
0.208,1.64E-21,1
0.2085,1.60E-21,1
0.209,1.57E-21,1
0.2095,1.49E-21,1
0.21,1.47E-21,1
0.2105,1.52E-21,1
0.211,1.50E-21,1
0.2115,1.62E-21,1
0.212,1.81E-21,1
0.2125,2.10E-21,1
0.213,2.23E-21,1
0.2135,2.06E-21,1
0.214,1.69E-21,1
0.2145,1.49E-21,1
0.215,1.42E-21,1
0.2155,1.42E-21,1
0.216,1.42E-21,1
0.2165,1.48E-21,1
0.217,1.48E-21,1
0.2175,1.53E-21,1
0.218,1.56E-21,1
0.2185,1.67E-21,1
0.219,1.68E-21,1
0.2195,1.78E-21,1
0.22,1.85E-21,1
0.2205,1.92E-21,1
0.221,2.01E-21,1
0.2215,2.11E-21,1
0.222,2.23E-21,1
0.2225,2.33E-21,1
0.223,2.48E-21,1
0.2235,2.60E-21,1
0.224,2.74E-21,1
0.2245,2.85E-21,1
0.225,3.04E-21,1
0.2255,3.15E-21,1
0.226,3.33E-21,1
0.2265,3.55E-21,1
0.227,3.73E-21,1
0.2275,3.93E-21,1
0.228,4.11E-21,1
0.2285,4.34E-21,1
0.229,4.56E-21,1
0.2295,4.75E-21,1
0.23,5.01E-21,1
0.2305,5.27E-21,1
0.231,5.53E-21,1
0.2315,5.83E-21,1
0.232,6.15E-21,1
0.2325,6.45E-21,1
0.233,6.73E-21,1
0.2335,7.02E-21,1
0.234,7.42E-21,1
0.2345,7.83E-21,1
0.235,8.11E-21,1
0.2355,8.45E-21,1
0.236,8.82E-21,1
0.2365,9.21E-21,1
0.237,9.65E-21,1
0.2375,1.00E-20,1
0.238,1.05E-20,1
0.2385,1.10E-20,1
0.239,1.15E-20,1
0.2395,1.20E-20,1
0.24,1.23E-20,1
0.2405,1.28E-20,1
0.241,1.32E-20,1
0.2415,1.38E-20,1
0.242,1.44E-20,1
0.2425,1.50E-20,1
0.243,1.57E-20,1
0.2435,1.63E-20,1
0.244,1.68E-20,1
0.2445,1.75E-20,1
0.245,1.81E-20,1
0.2455,1.88E-20,1
0.246,1.96E-20,1
0.2465,2.03E-20,1
0.247,2.11E-20,1
0.2475,2.19E-20,1
0.248,2.25E-20,1
0.2485,2.33E-20,1
0.249,2.40E-20,1
0.2495,2.48E-20,1
0.25,2.56E-20,1
0.2505,2.64E-20,1
0.251,2.73E-20,1
0.2515,2.81E-20,1
0.252,2.88E-20,1
0.2525,2.98E-20,1
0.253,3.07E-20,1
0.2535,3.16E-20,1
0.254,3.25E-20,1
0.2545,3.34E-20,1
0.255,3.43E-20,1
0.2555,3.51E-20,1
0.256,3.59E-20,1
0.2565,3.67E-20,1
0.257,3.75E-20,1
0.2575,3.84E-20,1
0.258,3.94E-20,1
0.2585,4.03E-20,1
0.259,4.13E-20,1
0.2595,4.22E-20,1
0.26,4.28E-20,1
0.2605,4.33E-20,1
0.261,4.41E-20,1
0.2615,4.49E-20,1
0.262,4.57E-20,1
0.2625,4.65E-20,1
0.263,4.72E-20,1
0.2635,4.78E-20,1
0.264,4.85E-20,1
0.2645,4.92E-20,1
0.265,4.99E-20,1
0.2655,5.04E-20,1
0.266,5.12E-20,1
0.2665,5.22E-20,1
0.267,5.28E-20,1
0.2675,5.34E-20,1
0.268,5.41E-20,1
0.2685,5.46E-20,1
0.269,5.51E-20,1
0.2695,5.55E-20,1
0.27,5.59E-20,1
0.2705,5.63E-20,1
0.271,5.66E-20,1
0.2715,5.70E-20,1
0.272,5.74E-20,1
0.2725,5.78E-20,1
0.273,5.81E-20,1
0.2735,5.86E-20,1
0.274,5.90E-20,1
0.2745,5.93E-20,1
0.275,5.96E-20,1
0.2755,5.97E-20,1
0.276,5.98E-20,1
0.2765,5.98E-20,1
0.277,5.99E-20,1
0.2775,5.99E-20,1
0.278,5.98E-20,1
0.2785,5.96E-20,1
0.279,5.96E-20,1
0.2795,5.95E-20,1
0.28,5.94E-20,1
0.2805,5.92E-20,1
0.281,5.90E-20,1
0.2815,5.88E-20,1
0.282,5.86E-20,1
0.2825,5.83E-20,1
0.283,5.79E-20,1
0.2835,5.75E-20,1
0.284,5.71E-20,1
