Wavelength,X,yield
0.202,1.41E-20,1
0.206,1.92E-21,1
0.21,1.60E-21,1
0.214,1.83E-21,1
0.218,2.25E-21,1
0.222,2.90E-21,1
0.226,3.91E-21,1
0.23,5.34E-21,1
0.234,7.42E-21,1
0.238,1.03E-20,1
0.242,1.41E-20,1
0.246,1.89E-20,1
0.25,2.45E-20,1
0.254,3.09E-20,1
0.258,3.74E-20,1
0.262,4.39E-20,1
0.266,4.96E-20,1
0.27,5.40E-20,1
0.274,5.68E-20,1
0.278,5.77E-20,1
0.28,5.74E-20,1
0.281,5.72E-20,1
0.282,5.68E-20,1
0.283,5.62E-20,1
0.284,5.54E-20,1
0.285,5.44E-20,1
0.286,5.35E-20,1
0.287,5.26E-20,1
0.288,5.17E-20,1
0.289,5.06E-20,1
0.29,4.94E-20,1
0.291,4.78E-20,1
0.292,4.60E-20,1
0.293,4.42E-20,1
0.294,4.24E-20,1
0.295,4.08E-20,1
0.296,3.93E-20,1
0.297,3.79E-20,1
0.298,3.65E-20,1
0.299,3.48E-20,1
0.3,3.30E-20,1
0.301,3.10E-20,1
0.302,2.89E-20,1
0.303,2.69E-20,1
0.304,2.50E-20,1
0.305,2.33E-20,1
0.306,2.17E-20,1
0.307,2.02E-20,1
0.308,1.88E-20,1
0.309,1.73E-20,1
0.31,1.58E-20,1
0.311,1.42E-20,1
0.312,1.28E-20,1
0.313,1.14E-20,1
0.314,1.01E-20,1
0.315,8.96E-21,1
0.316,7.94E-21,1
0.317,6.97E-21,1
0.318,6.11E-21,1
0.319,5.31E-21,1
0.32,4.57E-21,1
0.321,3.89E-21,1
0.322,3.28E-21,1
0.323,2.76E-21,1
0.324,2.29E-21,1
0.325,1.89E-21,1
0.326,1.56E-21,1
0.327,1.29E-21,1
0.328,1.05E-21,1
0.329,8.50E-22,1
0.33,6.70E-22,1
0.331,5.40E-22,1
0.332,4.20E-22,1
0.333,3.30E-22,1
0.334,2.50E-22,1
0.335,2.00E-22,1
0.336,1.40E-22,1
0.337,1.10E-22,1
0.338,8.00E-23,1
0.339,7.00E-23,1
0.34,5.00E-23,1
0.341,5.00E-23,1
0.342,3.00E-23,1
0.343,3.00E-23,1
0.344,2.00E-23,1
0.345,1.00E-23,1
0.346,1.00E-23,1
0.347,0.00E+00,1
