Wavelength,X,yield
0.25,2.41E-21,0.205
0.251,2.41E-21,0.194
0.252,2.24E-21,0.183
0.253,2.41E-21,0.174
0.254,2.41E-21,0.164
0.255,2.58E-21,0.156
0.256,2.75E-21,0.147
0.257,2.75E-21,0.139
0.258,2.93E-21,0.132
0.259,3.10E-21,0.125
0.26,3.27E-21,0.118
0.261,3.61E-21,0.112
0.262,3.79E-21,0.106
0.263,3.96E-21,0.1
0.264,4.30E-21,0.095
0.265,4.65E-21,0.09
0.266,4.99E-21,0.085
0.267,5.34E-21,0.08
0.268,5.68E-21,0.076
0.269,6.20E-21,0.072
0.27,6.54E-21,0.068
0.271,7.06E-21,0.065
0.272,7.57E-21,0.061
0.273,8.09E-21,0.058
0.274,8.78E-21,0.055
0.275,9.29E-21,0.052
0.276,9.98E-21,0.049
0.277,1.08E-20,0.046
0.278,1.15E-20,0.044
0.279,1.24E-20,0.042
0.28,1.33E-20,0.039
0.281,1.41E-20,0.037
0.282,1.50E-20,0.035
0.283,1.60E-20,0.033
0.284,1.70E-20,0.032
0.285,1.81E-20,0.03
0.286,1.91E-20,0.028
0.287,2.03E-20,0.027
0.288,2.15E-20,0.025
0.289,2.29E-20,0.024
0.29,2.43E-20,0.023
0.291,2.55E-20,0.021
0.292,2.67E-20,0.02
0.293,2.81E-20,0.019
0.294,2.93E-20,0.018
0.295,3.08E-20,0.017
0.296,3.24E-20,0.016
0.297,3.39E-20,0.015
0.298,3.56E-20,0.015
0.299,3.70E-20,0.014
0.3,3.87E-20,0.013
0.301,4.04E-20,0.012
0.302,4.20E-20,0.012
0.303,4.35E-20,0.011
0.304,4.51E-20,0.011
0.305,4.66E-20,0.01
0.306,4.82E-20,0.009
0.307,4.96E-20,0.009
0.308,5.13E-20,0.008
0.309,5.30E-20,0.008
0.31,5.44E-20,0.008
0.311,5.58E-20,0.007
0.312,5.73E-20,0.007
0.313,5.87E-20,0.006
0.314,6.02E-20,0.006
0.315,6.14E-20,0.006
0.316,6.28E-20,0.005
0.317,6.42E-20,0.005
0.318,6.54E-20,0.005
0.319,6.63E-20,0.005
0.32,6.70E-20,0.004
0.321,6.76E-20,0.004
0.322,6.83E-20,0.004
0.323,6.85E-20,0.004
0.324,6.88E-20,0.003
0.325,6.95E-20,0.003
0.326,7.02E-20,0.003
0.327,7.09E-20,0.003
0.328,7.16E-20,0.003
0.329,7.23E-20,0.003
0.33,7.28E-20,0.003
0.331,7.30E-20,0.002
0.332,7.26E-20,0.002
0.333,7.18E-20,0.002
0.334,7.04E-20,0.002
0.335,6.94E-20,0.002
0.336,6.85E-20,0.002
0.337,6.70E-20,0.002
0.338,6.56E-20,0.002
0.339,6.47E-20,0.002
0.34,6.44E-20,0.001
0.341,6.42E-20,0.001
0.342,6.35E-20,0.001
0.343,6.35E-20,0.001
0.344,6.30E-20,0.001
0.345,6.23E-20,0.001
0.346,6.14E-20,0.001
0.347,6.08E-20,0.001
0.348,5.77E-20,0.001
0.349,5.47E-20,0.001
0.35,5.20E-20,0.001
0.351,4.94E-20,0.001
0.352,4.72E-20,0.001
0.353,4.53E-20,0.001
0.354,4.32E-20,0.001
0.355,4.15E-20,0.001
0.356,4.03E-20,0.001
0.357,3.94E-20,0.001
0.358,3.89E-20,0.001
0.359,3.89E-20,0.001
0.36,3.68E-20,0
