Wavelength,X,yield
0.2797,4.06E-18,0.9
0.2837,2.82E-18,0.9
0.2878,1.84E-18,0.9
0.292,1.13E-18,0.9
0.2963,6.51E-19,0.9
0.299,4.52E-19,0.9
0.3,3.92E-19,0.9
0.301,3.43E-19,0.9
0.302,3.03E-19,0.9
0.303,2.62E-19,0.9
0.304,2.34E-19,0.9
0.305,2.01E-19,0.9
0.306,1.79E-19,0.884
0.307,1.55E-19,0.862
0.308,1.35E-19,0.793
0.309,1.22E-19,0.671
0.31,1.02E-19,0.523
0.311,9.24E-20,0.394
0.312,7.95E-20,0.31
0.313,6.91E-20,0.265
0.314,6.25E-20,0.246
0.315,5.19E-20,0.239
0.316,4.77E-20,0.233
0.317,4.02E-20,0.222
0.318,3.72E-20,0.206
0.319,2.89E-20,0.187
0.32,2.99E-20,0.166
0.321,2.10E-20,0.146
0.3225,2.05E-20,0.121
0.3245,1.41E-20,0.097
0.3265,1.01E-20,0.084
0.329,7.86E-21,0.08
0.33,6.97E-21,0.08
0.335,3.20E-21,0.08
0.34,1.46E-21,0.08
0.345,7.79E-22,0.08
0.35,3.06E-22,0.08
0.355,1.36E-22,0.08
0.36,6.94E-23,0.08
0.365,3.05E-23,0.08
0.37,1.30E-23,0.08
0.375,8.50E-24,0.08
0.38,5.72E-24,0.08
0.385,5.42E-24,0.08
0.39,6.68E-24,0
