Wavelength,X,yield
0.28,4.44E-20,0.996
0.283,4.33E-20,0.995
0.285,3.90E-20,0.994
0.288,3.57E-20,0.993
0.29,3.25E-20,0.992
0.293,2.92E-20,0.991
0.295,2.60E-20,0.989
0.298,2.16E-20,0.987
0.3,1.79E-20,0.985
0.303,1.73E-20,0.982
0.305,1.46E-20,0.98
0.308,1.08E-20,0.976
0.31,9.20E-21,0.973
0.313,7.03E-21,0.968
0.315,6.49E-21,0.964
0.318,5.41E-21,0.958
0.32,5.41E-21,0.953
0.323,5.41E-21,0.946
0.325,4.33E-21,0.939
0.328,3.25E-21,0.931
0.33,3.79E-21,0.922
0.333,3.79E-21,0.912
0.335,4.33E-21,0.901
0.338,4.87E-21,0.89
0.34,5.41E-21,0.877
0.343,5.95E-21,0.863
0.345,6.49E-21,0.849
0.348,7.03E-21,0.833
0.35,8.12E-21,0.816
0.353,7.57E-21,0.798
0.355,9.20E-21,0.78
0.358,9.74E-21,0.76
0.36,1.08E-20,0.739
0.363,1.19E-20,0.718
0.365,1.41E-20,0.696
0.368,1.51E-20,0.673
0.37,1.79E-20,0.65
0.373,2.00E-20,0.626
0.375,2.11E-20,0.603
0.378,2.33E-20,0.578
0.38,2.60E-20,0.554
0.383,2.81E-20,0.53
0.385,3.14E-20,0.496
0.388,3.46E-20,0.451
0.39,3.90E-20,0.41
0.393,4.11E-20,0.374
0.395,4.33E-20,0.341
0.398,4.38E-20,0.312
0.4,4.65E-20,0.285
0.403,4.81E-20,0.261
0.405,5.19E-20,0.24
0.408,5.84E-20,0.22
0.41,6.06E-20,0.202
0.413,6.49E-20,0.186
0.415,6.92E-20,0.171
0.418,6.87E-20,0.158
0.42,6.82E-20,0.145
0.423,6.71E-20,0.134
0.425,6.49E-20,0.124
0.428,5.95E-20,0.115
0.43,5.73E-20,0.106
0.433,6.28E-20,0.098
0.435,6.01E-20,0.091
0.438,5.84E-20,0.085
0.44,5.95E-20,0.079
0.443,6.49E-20,0.073
0.445,5.95E-20,0.068
0.448,4.98E-20,0.063
0.45,3.79E-20,0.059
0.453,2.81E-20,0.055
0.455,1.73E-20,0.051
0.458,1.08E-20,0.048
0.46,5.41E-21,0.045
0.463,3.79E-21,0.042
0.465,2.16E-21,0.039
0.468,1.08E-21,0.037
0.47,1.08E-21,0.035
0.473,0.00E+00,0.032
