Wavelength,X,yield
0.202,4.90E-22,
0.206,4.90E-22,
0.21,5.70E-22,
0.214,6.90E-22,
0.218,8.00E-22,
0.222,9.10E-22,
0.226,1.15E-21,
0.23,1.63E-21,
0.234,2.57E-21,
0.238,4.07E-21,
0.242,6.22E-21,
0.246,9.09E-21,
0.25,1.29E-20,
0.254,1.75E-20,
0.258,2.25E-20,
0.262,2.88E-20,
0.266,3.43E-20,
0.27,4.12E-20,
0.274,4.59E-20,
0.278,5.17E-20,
0.28,5.16E-20,0.85
0.281,5.21E-20,
0.282,5.35E-20,
0.283,5.57E-20,
0.284,5.78E-20,
0.285,5.86E-20,0.9
0.286,5.82E-20,
0.287,5.72E-20,
0.288,5.59E-20,
0.289,5.52E-20,
0.29,5.56E-20,0.95
0.291,5.68E-20,
0.292,5.81E-20,
0.293,5.88E-20,
0.294,5.80E-20,
0.295,5.57E-20,1
0.296,5.37E-20,
0.297,5.16E-20,
0.298,5.02E-20,
0.299,5.02E-20,
0.3,5.04E-20,1
0.301,5.09E-20,
0.302,5.07E-20,
0.303,4.94E-20,
0.304,4.69E-20,
0.305,4.32E-20,1
0.306,4.04E-20,
0.307,3.81E-20,
0.308,3.65E-20,
0.309,3.62E-20,
0.31,3.60E-20,1
0.311,3.53E-20,
0.312,3.50E-20,
0.313,3.32E-20,
0.314,3.06E-20,
0.315,2.77E-20,
0.316,2.43E-20,
0.317,2.18E-20,
0.318,2.00E-20,
0.319,1.86E-20,
0.32,1.83E-20,
0.321,1.78E-20,
0.322,1.66E-20,
0.323,1.58E-20,
0.324,1.49E-20,
0.325,1.30E-20,
0.326,1.13E-20,
0.327,9.96E-21,
0.328,8.28E-21,
0.329,6.85E-21,
0.33,5.75E-21,
0.331,4.94E-21,
0.332,4.66E-21,
0.333,4.30E-21,
0.334,3.73E-21,
0.335,3.25E-21,
0.336,2.80E-21,
0.337,2.30E-21,
0.338,1.85E-21,
0.339,1.66E-21,
0.34,1.55E-21,
0.341,1.19E-21,
0.342,7.60E-22,
0.343,4.50E-22,
0.344,3.10E-22,
0.345,2.50E-22,
0.346,1.90E-22,
0.347,1.60E-22,
0.348,1.40E-22,
0.349,1.30E-22,
0.35,1.00E-22,
0.351,8.00E-23,
0.352,7.00E-23,
0.353,5.00E-23,
0.354,4.00E-23,
0.355,2.00E-23,
0.356,1.00E-23,
0.357,1.00E-23,
0.358,0,
0.359,0,
0.36,0,
0.361,0,
0.362,0,
0.363,0,
0.364,0,
