Wavelength,X,yield
0.21,3.12E-19,1
0.215,2.09E-19,1
0.22,1.54E-19,1
0.225,1.22E-19,1
0.23,9.62E-20,1
0.235,7.61E-20,1
0.24,6.05E-20,1
0.245,4.88E-20,1
0.25,3.98E-20,1
0.255,3.23E-20,1
0.26,2.56E-20,1
0.265,2.11E-20,1
0.27,1.70E-20,1
0.275,1.39E-20,1
0.28,1.09E-20,1
0.285,8.63E-21,1
0.29,6.91E-21,1
0.295,5.51E-21,1
0.3,4.13E-21,1
0.305,3.13E-21,1
0.31,2.39E-21,1
0.315,1.82E-21,1
0.32,1.37E-21,1
0.325,1.05E-21,1
0.33,7.90E-22,1
0.335,6.10E-22,1
0.34,4.70E-22,1
0.345,3.50E-22,1
0.35,2.70E-22,1
0.355,2.10E-22,1
0.36,1.60E-22,1
0.365,1.20E-22,1
0.37,0,1
