Wavelength,X,yield
0.19,6.72E-19,1
0.195,5.63E-19,1
0.2,4.75E-19,1
0.205,4.08E-19,1
0.21,3.57E-19,1
0.215,3.07E-19,1
0.22,2.58E-19,1
0.225,2.17E-19,1
0.23,1.82E-19,1
0.235,1.50E-19,1
0.24,1.24E-19,1
0.245,1.02E-19,1
0.25,8.30E-20,1
0.255,6.70E-20,1
0.26,5.30E-20,1
0.265,4.20E-20,1
0.27,3.30E-20,1
0.275,2.60E-20,1
0.28,2.00E-20,1
0.285,1.50E-20,1
0.29,1.20E-20,1
0.295,9.00E-21,1
0.3,6.80E-21,1
0.305,5.10E-21,1
0.31,3.90E-21,1
0.315,2.90E-21,1
0.32,2.20E-21,1
0.325,1.60E-21,1
0.33,1.30E-21,1
0.335,1.00E-21,1
0.34,7.00E-22,1
0.345,5.00E-22,1
0.35,4.00E-22,1
0.355,0.00E+00,1
