Wavelength,X,yield
0.226,1.80E-22,
0.227,1.70E-22,
0.228,1.80E-22,
0.229,1.90E-22,
0.23,2.10E-22,
0.231,1.70E-22,
0.232,3.40E-22,
0.233,2.60E-22,
0.234,3.30E-22,
0.235,3.60E-22,
0.236,5.40E-22,
0.237,7.70E-22,
0.238,5.70E-22,
0.239,6.80E-22,
0.24,7.80E-22,0.27
0.241,7.80E-22,
0.242,1.23E-21,
0.243,1.59E-21,
0.244,1.10E-21,
0.245,1.31E-21,
0.246,1.63E-21,
0.247,1.51E-21,
0.248,2.34E-21,
0.249,3.18E-21,
0.25,2.57E-21,0.32
0.251,2.04E-21,
0.252,3.37E-21,
0.253,2.89E-21,
0.254,3.42E-21,
0.255,4.50E-21,
0.256,6.28E-21,
0.257,4.43E-21,
0.258,3.07E-21,
0.259,6.17E-21,
0.26,6.05E-21,0.31
0.261,6.59E-21,
0.262,6.03E-21,
0.263,1.08E-20,
0.264,9.47E-21,
0.265,5.31E-21,
0.266,5.39E-21,
0.267,1.36E-20,
0.268,1.24E-20,
0.269,9.91E-21,0.4
0.27,9.63E-21,
0.271,1.94E-20,
0.272,1.43E-20,
0.273,8.11E-21,
0.274,6.58E-21,
0.275,2.14E-20,
0.276,2.58E-20,
0.277,1.57E-20,
0.278,1.04E-20,
0.279,2.45E-20,0.56
0.28,2.34E-20,0.58
0.281,1.56E-20,0.6
0.282,9.73E-21,0.62
0.283,7.22E-21,0.64
0.284,4.27E-20,0.65
0.285,4.05E-20,0.67
0.286,2.10E-20,0.68
0.287,1.15E-20,0.7
0.288,3.17E-20,0.71
0.289,3.23E-20,0.71
0.29,1.17E-20,0.72
0.291,1.84E-20,0.73
0.292,7.97E-21,0.73
0.293,3.13E-20,0.74
0.294,7.15E-20,0.7
0.295,4.05E-20,0.79
0.296,2.47E-20,0.76
0.297,1.37E-20,0.74
0.298,4.22E-20,0.67
0.299,3.18E-20,0.65
0.3,9.64E-21,0.7
0.301,1.63E-20,0.7
0.302,8.54E-21,0.73
0.303,3.02E-20,0.714
0.304,7.22E-20,0.75
0.305,4.75E-20,0.71
0.306,4.29E-20,0.642
0.307,1.78E-20,0.68
0.308,1.39E-20,0.7
0.309,3.25E-20,0.71
0.31,1.74E-20,0.7
0.311,4.62E-21,0.68
0.312,1.19E-20,0.669
0.313,9.06E-21,0.73
0.314,5.64E-20,0.681
0.315,5.57E-20,0.78
0.316,2.56E-20,0.75
0.317,5.78E-20,0.653
0.318,3.15E-20,0.66
0.319,9.78E-21,0.579
0.32,1.19E-20,0.6
0.321,1.60E-20,0.65
0.322,7.22E-21,0.58
0.323,3.28E-21,0.475
0.324,8.58E-21,0.49
0.325,1.58E-20,0.46
0.326,6.88E-20,0.506
0.327,4.37E-20,0.5
0.328,1.22E-20,0.4
0.329,3.12E-20,0.329
0.33,3.87E-20,0.38
0.331,1.41E-20,0.46
0.332,3.47E-21,0.37
0.333,2.14E-21,0.24
0.334,1.59E-21,0.112
0.335,9.70E-22,0.07
0.336,1.26E-21,0.055
0.337,3.83E-21,0.035
0.338,1.92E-20,0.01
0.339,5.38E-20,0.011
0.34,3.15E-20,0.01
0.341,9.78E-21,0.008
0.342,5.09E-21,0.008
0.343,1.92E-20,0.008
0.344,1.27E-20,0.007
0.345,4.37E-21,0.007
0.346,1.19E-21,0.007
0.347,4.40E-22,0.007
0.348,7.50E-22,0.007
0.349,3.80E-22,0.006
0.35,3.60E-22,0.006
0.351,8.90E-22,0.005
0.352,7.30E-21,0.005
0.353,2.28E-20,0.005
0.354,1.65E-20,0.005
0.355,6.96E-21,0.005
0.356,1.48E-21,0
0.357,3.50E-22,0
0.358,1.90E-22,0
0.359,1.10E-22,0
0.36,9.00E-23,0
0.361,1.00E-22,
0.362,2.10E-22,
0.363,1.40E-22,
0.364,9.00E-23,
0.365,9.00E-23,
0.366,9.00E-23,
0.367,9.00E-23,
0.368,1.40E-22,
0.369,3.00E-22,
0.37,6.40E-22,
0.371,5.70E-22,
0.372,2.00E-22,
0.373,1.10E-22,
0.374,9.00E-23,
0.375,9.00E-23,
