Wavelength,X,yield
0.28,4.88E-20,0.984
0.285,4.72E-20,0.977
0.29,4.84E-20,0.968
0.295,4.36E-20,0.956
0.3,3.75E-20,0.941
0.305,3.36E-20,0.922
0.31,2.37E-20,0.897
0.315,1.89E-20,0.867
0.32,1.51E-20,0.832
0.325,9.38E-21,0.79
0.33,6.52E-21,0.743
0.335,4.82E-21,0.692
0.34,3.23E-21,0.637
0.345,3.00E-21,0.579
0.35,3.94E-21,0.522
0.355,5.60E-21,0.465
0.36,6.95E-21,0.411
0.365,1.08E-20,0.36
0.37,1.48E-20,0.313
0.375,1.91E-20,0.271
0.38,2.43E-20,0.234
0.385,3.22E-20,0.2
0.39,4.03E-20,0.165
0.395,4.73E-20,0.138
0.4,5.66E-20,0.115
0.401,5.90E-20,0.111
0.402,6.07E-20,0.107
0.403,6.35E-20,0.104
0.404,6.54E-20,0.1
0.405,6.91E-20,0.097
0.406,7.20E-20,0.093
0.407,7.58E-20,0.09
0.408,7.94E-20,0.087
0.409,8.12E-20,0.084
0.41,8.52E-20,0.082
0.411,8.63E-20,0.079
0.412,9.07E-20,0.076
0.413,9.37E-20,0.074
0.414,9.62E-20,0.071
0.415,9.68E-20,0.069
0.416,9.71E-20,0.067
0.417,1.00E-19,0.065
0.418,1.01E-19,0.063
0.419,1.01E-19,0.061
0.42,1.02E-19,0.059
0.421,1.03E-19,0.057
0.422,1.05E-19,0.055
0.423,1.05E-19,0.053
0.424,1.02E-19,0.052
0.425,1.03E-19,0.05
0.426,1.02E-19,0.049
0.427,9.84E-20,0.047
0.428,1.00E-19,0.046
0.429,9.94E-20,0.044
0.43,1.04E-19,0.043
0.431,1.05E-19,0.042
0.432,9.79E-20,0.04
0.433,1.06E-19,0.039
0.434,1.05E-19,0.038
0.435,1.08E-19,0.037
0.436,1.11E-19,0.036
0.437,9.99E-20,0.035
0.438,1.06E-19,0.034
0.439,1.10E-19,0.033
0.44,9.94E-20,0.032
0.441,1.04E-19,0.031
0.442,1.02E-19,0.03
0.443,1.02E-19,0.029
0.444,1.12E-19,0.028
0.445,9.61E-20,0.028
0.446,8.90E-20,0.027
0.447,9.84E-20,0.026
0.448,9.18E-20,0.025
0.449,1.01E-19,0.025
0.45,8.67E-20,0.024
0.451,6.34E-20,0.023
0.452,6.33E-20,0.023
0.453,6.08E-20,0.022
0.454,4.46E-20,0.021
0.455,3.69E-20,0.021
0.456,3.08E-20,0.02
0.457,2.46E-20,0.02
0.458,1.81E-20,0.019
0.459,1.28E-20,0.019
0.46,9.14E-21,0.018
0.461,7.95E-21,0.018
0.462,6.42E-21,0.017
0.463,4.79E-21,0.017
0.464,3.32E-21,0.016
0.465,2.68E-21,0.016
0.466,2.27E-21,0.016
0.467,1.87E-21,0.015
0.468,1.60E-21,0.015
0.469,1.33E-21,0.014
0.47,1.08E-21,0.014
0.471,9.90E-22,0.014
0.472,8.90E-22,0.013
0.473,7.70E-22,0.013
0.474,6.70E-22,0.013
0.475,6.20E-22,0.012
0.476,0.00E+00,0.012
