Wavelength,X,yield
0.242,5.77E-20,1
0.245,2.79E-20,1
0.248,1.62E-20,1
0.252,9.98E-21,1
0.255,1.05E-20,1
0.258,1.28E-20,1
0.261,1.58E-20,1
0.265,2.05E-20,1
0.268,2.64E-20,1
0.272,3.24E-20,1
0.276,4.07E-20,1
0.28,5.21E-20,1
0.284,6.23E-20,1
0.288,7.59E-20,1
0.292,9.51E-20,1
0.296,1.15E-19,1
0.301,1.32E-19,1
0.305,1.61E-19,1
0.31,1.88E-19,1
0.315,2.16E-19,1
0.32,2.53E-19,1
0.325,2.87E-19,1
0.33,3.17E-19,1
0.335,3.58E-19,1
0.34,4.02E-19,1
0.345,4.18E-19,1
0.35,4.62E-19,1
0.355,4.97E-19,1
0.36,5.09E-19,1
0.365,5.49E-19,1
0.37,5.61E-19,1
0.375,5.90E-19,1
0.38,5.93E-19,1
0.385,6.01E-19,1
0.39,6.30E-19,1
0.395,5.97E-19,1
0.398,6.25E-19,1
0.399,6.35E-19,0.95
0.4,6.44E-19,0.88
0.401,6.32E-19,0.75
0.402,6.19E-19,0.62
0.403,6.07E-19,0.53
0.404,5.94E-19,0.44
0.405,5.82E-19,0.37
0.406,5.90E-19,0.3
0.407,5.99E-19,0.26
0.408,6.07E-19,0.22
0.409,6.16E-19,0.18
0.41,6.24E-19,0.15
0.411,6.17E-19,0.13
0.412,6.11E-19,0.11
0.413,6.04E-19,0.09
0.414,5.98E-19,0.08
0.415,5.91E-19,0.06
0.416,5.93E-19,0.05
0.417,5.94E-19,0.04
0.418,5.96E-19,0.03
0.419,5.97E-19,0.02
0.42,5.99E-19,0.02
0.422,5.87E-19,0.01
0.424,5.76E-19,0
