Wavelength,X,yield,,,
184,8.50E-19,1,,,
186,9.50E-19,1,,,
188,1.06E-18,1,,,
190,1.24E-18,1,,,
192,1.43E-18,1,,,
194,1.62E-18,1,,,
196,1.79E-18,1,,,
198,1.96E-18,1,,,
200,2.10E-18,1,,,
202,2.19E-18,1,,,
204,2.23E-18,1,,,
205,2.24E-18,1,,,
206,2.23E-18,1,,,
208,2.20E-18,1,,,
210,2.13E-18,1,,,
212,2.04E-18,1,,,
214,1.93E-18,1,,,
216,1.79E-18,1,,,
218,1.64E-18,1,,,
220,1.50E-18,1,,,
222,1.35E-18,1,,,
224,1.21E-18,1,,,
226,1.08E-18,1,,,
228,9.45E-19,1,,,
230,8.45E-19,1,,,
232,7.40E-19,1,,,
234,6.60E-19,1,,,
236,5.80E-19,1,,,
238,5.00E-19,1,,,
240,4.30E-19,1,,,
242,3.70E-19,1,,,
244,3.20E-19,1,,,
246,2.75E-19,1,,,
248,2.35E-19,1,,,
250,2.00E-19,1,,,
252,1.70E-19,1,,,
254,1.45E-19,1,,,
256,1.23E-19,1,,,
258,1.03E-19,1,,,
260,8.60E-20,1,,,
262,7.30E-20,1,,,
264,6.20E-20,1,,,
266,5.30E-20,1,,,
268,4.30E-20,1,,,
270,3.70E-20,1,,,
272,3.00E-20,1,,,
274,2.50E-20,1,,,
296,3.26E-21,1,,,
297,5.65E-21,1,,,
298,5.17E-21,1,,,
299,4.29E-21,1,,,
300,6.17E-21,1,,,
301,6.90E-21,1,,,
302,5.79E-21,1,,,
303,9.25E-21,1,,,
304,1.04E-20,1,,,
305,1.57E-20,1,,,
306,1.29E-20,1,,,
307,9.16E-21,1,,,
308,1.45E-20,1,,,
309,2.01E-20,1,,,
310,1.51E-20,1,,,
311,2.07E-20,1,,,
312,2.42E-20,1,,,
313,2.25E-20,1,,,
314,3.35E-20,1,,,
315,2.54E-20,1,,,
316,1.61E-20,1,,,
317,3.21E-20,1,,,
318,4.49E-20,1,,,
319,3.19E-20,1,,,
320,4.66E-20,1,,,
321,5.96E-20,1,,,
322,4.05E-20,1,,,
323,4.56E-20,1,,,
324,5.89E-20,1,,,
325,4.05E-20,1,,,
326,2.65E-20,1,,,
326.5,3.55E-20,1,,,
327,6.44E-20,1,,,
327.5,1.03E-19,1,,,
328,9.22E-20,1,,,
328.5,6.38E-20,1,,,
329,5.20E-20,1,,,
329.5,6.12E-20,1,,,
330,9.92E-20,1,,,
330.5,1.51E-19,1,,,
331,1.43E-19,1,,,
331.5,9.88E-20,1,,,
332,6.94E-20,1,,,
332.5,6.00E-20,1,,,
333,6.31E-20,1,,,
333.5,7.11E-20,1,,,
334,8.35E-20,1,,,
334.5,8.37E-20,1,,,
335,7.71E-20,1,,,
335.5,6.55E-20,1,,,
336,5.33E-20,1,,,
336.5,4.36E-20,1,,,
337,4.23E-20,1,,,
337.5,5.13E-20,1,,,
338,9.38E-20,1,,,
338.5,1.65E-19,1,,,
339,1.43E-19,1,,,
339.5,9.96E-20,1,,,
340,7.79E-20,1,,,
340.5,8.51E-20,1,,,
341,1.61E-19,1,,,
341.5,3.15E-19,1,,,
342,2.94E-19,1,,,
342.5,1.85E-19,1,,,
343,1.14E-19,1,,,
343.5,8.29E-20,1,,,
344,7.59E-20,1,,,
344.5,8.18E-20,1,,,
345,8.77E-20,1,,,
345.5,9.10E-20,1,,,
346,9.64E-20,1,,,
346.5,8.87E-20,1,,,
347,7.80E-20,1,,,
347.5,7.06E-20,1,,,
348,6.63E-20,1,,,
348.5,6.26E-20,1,,,
349,6.00E-20,1,,,
349.5,6.47E-20,1,,,
350,9.06E-20,1,,,
350.5,1.50E-19,1,,,
351,1.69E-19,1,,,
351.5,1.41E-19,1,,,
352,1.24E-19,1,,,
352.5,1.28E-19,1,,,
353,1.63E-19,1,,,
353.5,2.85E-19,1,,,
354,4.87E-19,1,,,
354.5,4.43E-19,1,,,
355,2.76E-19,1,,,
355.5,1.64E-19,1,,,
356,1.11E-19,1,,,
356.5,9.35E-20,1,,,
357,9.45E-20,1,,,
357.5,1.01E-19,1,,,
358,9.84E-20,1,,,
358.5,9.02E-20,1,,,
359,8.37E-20,1,,,
359.5,7.67E-20,1,,,
360,6.87E-20,1,,,
360.5,6.32E-20,1,,,
361,6.05E-20,1,,,
361.5,5.95E-20,1,,,
362,5.98E-20,1,,,
362.5,6.35E-20,1,,,
363,7.39E-20,1,,,
363.5,9.22E-20,1,,,
364,1.15E-19,1,,,
364.5,1.27E-19,1,,,
365,1.28E-19,1,,,
365.5,1.32E-19,1,,,
366,1.48E-19,1,,,
366.5,1.84E-19,1,,,
367,2.51E-19,1,,,
367.5,3.52E-19,1,,,
368,4.36E-19,1,,,
368.5,4.14E-19,1,,,
369,3.15E-19,1,,,
369.5,2.17E-19,1,,,
370,1.51E-19,1,,,
370,9.49E-20,1,,,
372,7.96E-20,1,,,
373,6.30E-20,1,,,
374,4.59E-20,1,,,
375,3.55E-20,1,,,
376,3.36E-20,1,,,
377,3.66E-20,1,,,
378,4.33E-20,1,,,
379,5.66E-20,1,,,
380,7.21E-20,1,,,
381,9.13E-20,1,,,
382,1.24E-19,1,,,
383,1.70E-19,1,,,
384,1.95E-19,1,,,
385,1.61E-19,1,,,
386,1.05E-19,1,,,
387,6.59E-20,1,,,
388,4.30E-20,1,,,
389,2.81E-20,1,,,
390,1.71E-20,1,,,
391,9.92E-21,1,,,
392,7.31E-21,1,,,
393,5.97E-21,1,,,
394,5.28E-21,1,,,
395,4.03E-21,1,,,
396,2.37E-21,1,,,
