Wavelength,X,yield
0.219,9.84E-21,1
0.2195,1.04E-20,1
0.22,1.06E-20,1
0.2205,1.11E-20,1
0.221,1.15E-20,1
0.2215,1.18E-20,1
0.222,1.22E-20,1
0.2225,1.24E-20,1
0.223,1.26E-20,1
0.2235,1.26E-20,1
0.224,1.25E-20,1
0.2245,1.24E-20,1
0.225,1.25E-20,1
0.2255,1.27E-20,1
0.226,1.27E-20,1
0.2265,1.29E-20,1
0.227,1.31E-20,1
0.2275,1.32E-20,1
0.228,1.35E-20,1
0.2285,1.37E-20,1
0.229,1.40E-20,1
0.2295,1.42E-20,1
0.23,1.48E-20,1
0.2305,1.53E-20,1
0.231,1.57E-20,1
0.2315,1.59E-20,1
0.232,1.61E-20,1
0.2325,1.62E-20,1
0.233,1.61E-20,1
0.2335,1.68E-20,1
0.234,1.74E-20,1
0.2345,1.80E-20,1
0.235,1.84E-20,1
0.2355,1.87E-20,1
0.236,1.89E-20,1
0.2365,1.91E-20,1
0.237,1.93E-20,1
0.2375,1.94E-20,1
0.238,1.96E-20,1
0.2385,1.96E-20,1
0.239,2.01E-20,1
0.2395,2.04E-20,1
0.24,2.08E-20,1
0.2405,2.10E-20,1
0.241,2.14E-20,1
0.2415,2.16E-20,1
0.242,2.19E-20,1
0.2425,2.20E-20,1
0.243,2.23E-20,1
0.2435,2.26E-20,1
0.244,2.28E-20,1
0.2445,2.29E-20,1
0.245,2.30E-20,1
0.2455,2.32E-20,1
0.246,2.33E-20,1
0.2465,2.35E-20,1
0.247,2.38E-20,1
0.2475,2.41E-20,1
0.248,2.46E-20,1
0.2485,2.51E-20,1
0.249,2.57E-20,1
0.2495,2.61E-20,1
0.25,2.65E-20,1
0.2505,2.67E-20,1
0.251,2.69E-20,1
0.2515,2.69E-20,1
0.252,2.71E-20,1
0.2525,2.72E-20,1
0.253,2.73E-20,1
0.2535,2.74E-20,1
0.254,2.76E-20,1
0.2545,2.78E-20,1
0.255,2.82E-20,1
0.2555,2.87E-20,1
0.256,2.93E-20,1
0.2565,2.98E-20,1
0.257,3.07E-20,1
0.2575,3.12E-20,1
0.258,3.17E-20,1
0.2585,3.21E-20,1
0.259,3.26E-20,1
0.2595,3.28E-20,1
0.26,3.29E-20,1
0.2605,3.31E-20,1
0.261,3.33E-20,1
0.2615,3.34E-20,1
0.262,3.36E-20,1
0.2625,3.38E-20,1
0.263,3.42E-20,1
0.2635,3.44E-20,1
0.264,3.48E-20,1
0.2645,3.54E-20,1
0.265,3.59E-20,1
0.2655,3.65E-20,1
0.266,3.73E-20,1
0.2665,3.80E-20,1
0.267,3.87E-20,1
0.2675,3.95E-20,1
0.268,4.02E-20,1
0.2685,4.08E-20,1
0.269,4.13E-20,1
0.2695,4.17E-20,1
0.27,4.20E-20,1
0.2705,4.22E-20,1
0.271,4.22E-20,1
0.2715,4.22E-20,1
0.272,4.23E-20,1
0.2725,4.24E-20,1
0.273,4.27E-20,1
0.2735,4.29E-20,1
0.274,4.31E-20,1
0.2745,4.33E-20,1
0.275,4.37E-20,1
0.2755,4.42E-20,1
0.276,4.48E-20,1
0.2765,4.56E-20,1
0.277,4.64E-20,1
0.2775,4.71E-20,1
0.278,4.78E-20,1
0.2785,4.83E-20,1
0.279,4.87E-20,1
0.2795,4.90E-20,1
0.28,4.92E-20,1
0.2805,4.93E-20,1
0.281,4.94E-20,1
0.2815,4.92E-20,1
0.282,4.90E-20,1
0.2825,4.86E-20,1
0.283,4.83E-20,1
0.2835,4.79E-20,1
0.284,4.76E-20,1
0.2845,4.72E-20,1
0.285,4.70E-20,1
0.2855,4.68E-20,1
0.286,4.66E-20,1
0.2865,4.65E-20,1
0.287,4.65E-20,1
0.2875,4.68E-20,1
0.288,4.73E-20,1
0.2885,4.78E-20,1
0.289,4.84E-20,1
0.2895,4.89E-20,1
0.29,4.92E-20,1
0.2905,4.92E-20,1
0.291,4.90E-20,1
0.2915,4.86E-20,1
0.292,4.81E-20,1
0.2925,4.75E-20,1
0.293,4.70E-20,1
0.2935,4.65E-20,1
0.294,4.58E-20,1
0.2945,4.48E-20,1
0.295,4.38E-20,1
0.2955,4.27E-20,1
0.296,4.17E-20,1
0.2965,4.07E-20,1
0.297,3.99E-20,1
0.2975,3.94E-20,1
0.298,3.88E-20,1
0.2985,3.82E-20,1
0.299,3.76E-20,1
0.2995,3.72E-20,1
0.3,3.69E-20,1
0.3005,3.68E-20,1
0.301,3.70E-20,1
0.3015,3.72E-20,1
0.302,3.74E-20,1
0.3025,3.74E-20,1
0.303,3.75E-20,1
0.3035,3.71E-20,1
0.304,3.62E-20,1
0.3045,3.51E-20,1
0.305,3.38E-20,1
0.3055,3.25E-20,1
0.306,3.15E-20,1
0.3065,3.04E-20,1
0.307,2.92E-20,1
0.3075,2.80E-20,1
0.308,2.71E-20,1
0.3085,2.63E-20,1
0.309,2.52E-20,1
0.3095,2.43E-20,1
0.31,2.34E-20,1
0.3105,2.25E-20,1
0.311,2.19E-20,1
0.3115,2.12E-20,1
0.312,2.06E-20,1
0.3125,2.02E-20,1
0.313,1.96E-20,1
0.3135,1.92E-20,1
0.314,1.91E-20,1
0.3145,1.88E-20,1
0.315,1.86E-20,1
0.3155,1.85E-20,1
0.316,1.86E-20,1
0.3165,1.87E-20,1
0.317,1.87E-20,1
0.3175,1.87E-20,1
0.318,1.83E-20,1
0.3185,1.75E-20,1
0.319,1.69E-20,1
0.3195,1.60E-20,1
0.32,1.50E-20,1
0.3205,1.41E-20,1
0.321,1.34E-20,1
0.3215,1.27E-20,1
0.322,1.21E-20,1
0.3225,1.18E-20,1
0.323,1.14E-20,1
0.3235,1.08E-20,1
0.324,1.01E-20,1
0.3245,9.62E-21,1
0.325,9.28E-21,1
0.3255,8.75E-21,1
0.326,8.49E-21,1
0.3265,8.21E-21,1
0.327,7.71E-21,1
0.3275,7.38E-21,1
0.328,7.18E-21,1
0.3285,6.86E-21,1
0.329,6.71E-21,1
0.3295,6.63E-21,1
0.33,6.46E-21,1
0.3305,6.29E-21,1
0.331,6.21E-21,1
0.3315,6.18E-21,1
0.332,6.20E-21,1
0.3325,5.49E-21,1
0.333,5.21E-21,1
0.3335,5.38E-21,1
0.334,5.35E-21,1
0.3345,5.04E-21,1
0.335,4.94E-21,1
0.3355,4.90E-21,1
0.336,4.52E-21,1
0.3365,4.26E-21,1
0.337,4.11E-21,1
0.3375,3.76E-21,1
0.338,3.61E-21,1
0.3385,3.58E-21,1
0.339,3.47E-21,1
0.3395,3.32E-21,1
0.34,3.22E-21,1
0.3405,3.10E-21,1
0.341,3.00E-21,1
0.3415,2.94E-21,1
0.342,2.89E-21,1
0.3425,2.86E-21,1
0.343,2.88E-21,1
0.3435,2.88E-21,1
0.344,2.89E-21,1
0.3445,2.91E-21,1
0.345,2.95E-21,1
0.3455,3.00E-21,1
0.346,3.08E-21,1
0.3465,3.18E-21,1
0.347,3.25E-21,1
0.3475,3.30E-21,1
0.348,3.39E-21,1
0.3485,3.51E-21,1
0.349,3.63E-21,1
0.3495,3.73E-21,1
0.35,3.85E-21,1
0.3505,3.99E-21,1
0.351,4.27E-21,1
0.3515,4.47E-21,1
0.352,4.63E-21,1
0.3525,4.78E-21,1
0.353,4.92E-21,1
0.3535,5.07E-21,1
0.354,5.23E-21,1
0.3545,5.39E-21,1
0.355,5.56E-21,1
0.3555,5.77E-21,1
0.356,5.97E-21,1
0.3565,6.15E-21,1
0.357,6.35E-21,1
0.3575,6.56E-21,1
0.358,6.76E-21,1
0.3585,6.95E-21,1
0.359,7.20E-21,1
0.3595,7.44E-21,1
0.36,7.64E-21,1
0.3605,7.89E-21,1
0.361,8.15E-21,1
0.3615,8.43E-21,1
0.362,8.71E-21,1
0.3625,9.02E-21,1
0.363,9.33E-21,1
0.3635,9.65E-21,1
0.364,1.00E-20,1
0.3645,1.04E-20,1
0.365,1.08E-20,1
0.3655,1.11E-20,1
0.366,1.15E-20,1
0.3665,1.19E-20,1
0.367,1.23E-20,1
0.3675,1.27E-20,1
0.368,1.31E-20,1
0.3685,1.35E-20,1
0.369,1.40E-20,1
0.3695,1.44E-20,1
0.37,1.47E-20,1
0.3705,1.51E-20,1
0.371,1.55E-20,1
0.3715,1.59E-20,1
0.372,1.64E-20,1
0.3725,1.70E-20,1
