Wavelength,X,yield
0.28,4.06E-18,0.1
0.284,2.82E-18,0.1
0.288,1.84E-18,0.1
0.292,1.13E-18,0.1
0.296,6.51E-19,0.1
0.299,4.52E-19,0.1
0.3,3.92E-19,0.1
0.301,3.43E-19,0.1
0.302,3.03E-19,0.1
0.303,2.62E-19,0.1
0.304,2.34E-19,0.1
0.305,2.01E-19,0.1
0.306,1.79E-19,0.116
0.307,1.55E-19,0.138
0.308,1.35E-19,0.207
0.309,1.22E-19,0.329
0.31,1.02E-19,0.477
0.311,9.24E-20,0.606
0.312,7.95E-20,0.69
0.313,6.91E-20,0.735
0.314,6.25E-20,0.754
0.315,5.19E-20,0.761
0.316,4.77E-20,0.767
0.317,4.02E-20,0.778
0.318,3.72E-20,0.794
0.319,2.89E-20,0.813
0.32,2.99E-20,0.834
0.321,2.10E-20,0.854
0.323,2.05E-20,0.88
0.325,1.41E-20,0.904
0.327,1.01E-20,0.916
0.329,7.86E-21,0.92
0.33,6.97E-21,0.92
0.335,3.20E-21,0.92
0.34,1.46E-21,0.92
0.345,7.79E-22,0.92
0.35,3.06E-22,0.92
0.355,1.36E-22,0.92
0.36,6.94E-23,0.92
0.365,3.05E-23,0.92
0.37,1.30E-23,0.92
0.375,8.50E-24,0.92
0.38,5.72E-24,0.92
0.385,5.42E-24,0.92
0.39,6.68E-24,1
0.395,9.56E-24,1
0.4,1.15E-23,1
0.405,1.58E-23,1
0.41,2.58E-23,1
0.415,2.95E-23,1
0.42,3.93E-23,1
0.425,6.56E-23,1
0.43,6.97E-23,1
0.435,8.82E-23,1
0.44,1.37E-22,1
0.445,1.65E-22,1
0.45,1.85E-22,1
0.455,2.18E-22,1
0.46,3.66E-22,1
0.465,3.67E-22,1
0.47,4.10E-22,1
0.475,4.81E-22,1
0.48,7.54E-22,1
0.485,8.13E-22,1
0.49,8.16E-22,1
0.495,9.08E-22,1
0.5,1.21E-21,1
0.505,1.60E-21,1
0.51,1.58E-21,1
0.515,1.66E-21,1
0.52,1.83E-21,1
0.525,2.19E-21,1
0.53,2.67E-21,1
0.535,2.87E-21,1
0.54,2.95E-21,1
0.545,3.19E-21,1
0.55,3.37E-21,1
0.555,3.58E-21,1
0.56,3.98E-21,1
0.565,4.39E-21,1
0.57,4.67E-21,1
0.575,4.81E-21,1
0.58,4.64E-21,1
0.585,4.46E-21,1
0.59,4.47E-21,1
0.595,4.76E-21,1
0.6,5.13E-21,1
0.605,5.14E-21,1
0.61,4.78E-21,1
0.615,4.38E-21,1
0.62,4.06E-21,1
0.625,3.82E-21,1
0.63,3.56E-21,1
0.635,3.27E-21,1
0.64,2.97E-21,1
0.645,2.71E-21,1
0.65,2.51E-21,1
0.655,2.31E-21,1
0.66,2.10E-21,1
0.665,1.90E-21,1
0.67,1.70E-21,1
0.675,1.51E-21,1
0.68,1.37E-21,1
0.685,1.26E-21,1
0.69,1.13E-21,1
0.695,9.89E-22,1
0.7,8.68E-22,1
0.705,7.84E-22,1
0.71,7.31E-22,1
0.715,6.96E-22,1
0.72,6.22E-22,1
0.725,5.43E-22,1
0.73,4.78E-22,1
0.735,4.42E-22,1
0.74,4.32E-22,1
0.745,4.47E-22,1
0.75,4.25E-22,1
0.755,3.38E-22,1
0.76,2.86E-22,1
0.765,2.62E-22,1
0.77,2.60E-22,1
0.775,2.94E-22,1
0.78,3.18E-22,1
0.785,2.62E-22,1
0.79,2.08E-22,1
0.795,1.73E-22,1
0.8,1.57E-22,1
0.805,1.56E-22,1
0.81,1.86E-22,1
0.815,2.21E-22,1
0.82,2.06E-22,1
0.825,1.45E-22,1
0.83,8.40E-23,1
0.835,2.30E-23,1
0.84,0.00E+00,1
