"Time","AbsTime","SolarElevationAngle","SolarAzimuthAngle","x120","x121.4","x121.9","x122.3","x123.1","x123.8","x124.6","x125.4","x126.2","x127","x128.6","x129.4","x130.3","x132","x135","x137","x145","x155","x165","x170","x174.4","x177","x178.6","x180.2","x181.8","x183.5","x185.2","x186.9","x188.7","x190.5","x192.3","x194.2","x196.1","x198","x200","x202","x204.1","x205.8","x208.333","x210.526","x212.766","x215.054","x217.391","x219.78","x222.222","x224.719","x227.273","x229.885","x232.558","x235.294","x238.095","x240.964","x243.902","x246.914","x250","x253.165","x256.41","x259.74","x263.158","x266.667","x270.27","x273.973","x277.778","x281.69","x285.714","x289.855","x294.118","x298.5","x302.5","x303.5","x304.5","x305.5","x306.5","x307.5","x308.5","x309.5","x310.5","x311.5","x312.5","x313.5","x314.5","x317.5","x322.5","x327.5","x332.5","x337.5","x342.5","x347.5","x352.5","x357.5","x362.5","x367.5","x372.5","x377.5","x382.5","x387.5","x392.5","x397.5","x402.5","x407.5","x412.5","x417.5","x422.5","x427.5","x432.5","x437.5","x442.5","x447.5","x452.5","x457.5","x462.5","x467.5","x472.5","x477.5","x482.5","x487.5","x492.5","x497.5","x502.5","x507.5","x512.5","x517.5","x522.5","x527.5","x532.5","x537.5","x542.5","x547.5","x552.5","x557.5","x562.5","x567.5","x572.5","x577.5","x582.5","x587.5","x592.5","x597.5","x602.5","x607.5","x612.5","x617.5","x622.5","x627.5","x632.5","x637.5","x642.5","x647.1","x655","x665","x675","x685","x695","x705","x715","x725"
0,20,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686900,116300000,2.66e+09,1.588e+10,2.189e+10,4.188e+10,5.075e+10,8.919e+10,1.465e+11,1.877e+11,2.866e+11,5.875e+11,7.068e+11,1.077e+12,1.332e+12,2.205e+12,4.859e+12,9.638e+12,1.48e+13,1.622e+13,1.901e+13,1.975e+13,2.13e+13,2.338e+13,2.209e+13,2.898e+13,3.104e+13,2.886e+13,3.412e+13,2.643e+13,3.544e+13,2.821e+13,5.368e+13,5.605e+13,5.914e+13,6.3e+13,6.495e+13,6.324e+13,5.951e+13,7.036e+13,7.359e+13,8.036e+13,8.688e+13,8.632e+13,8.97e+13,9.003e+13,9.071e+13,9.281e+13,9.568e+13,8.78e+13,9.261e+13,9.513e+13,9.067e+13,9.16e+13,9.19e+13,8.583e+13,8.847e+13,8.83e+13,9.2e+13,8.917e+13,8.978e+13,9.092e+13,9.124e+13,9.05e+13,8.743e+13,8.665e+13,8.574e+13,8.729e+13,8.706e+13,8.838e+13,8.585e+13,8.706e+13,8.413e+13,8.552e+13,8.622e+13,8.613e+13,8.905e+13,8.851e+13,9.011e+13,9.106e+13,9.162e+13,9.252e+13,9.291e+13,9.029e+13,9.514e+13,9.555e+13,9.599e+13,9.615e+13,9.522e+13,9.325e+13,9.232e+13
15,20.25,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517800,84460000,1.821e+09,1.023e+10,1.374e+10,2.498e+10,2.893e+10,4.775e+10,7.342e+10,9.054e+10,1.302e+11,2.623e+11,3.118e+11,4.781e+11,5.948e+11,1.04e+12,2.528e+12,5.549e+12,8.952e+12,1.012e+13,1.201e+13,1.255e+13,1.353e+13,1.487e+13,1.407e+13,1.848e+13,1.982e+13,1.845e+13,2.185e+13,1.696e+13,2.278e+13,1.817e+13,3.468e+13,3.631e+13,3.842e+13,4.106e+13,4.247e+13,4.148e+13,3.917e+13,4.648e+13,4.876e+13,5.342e+13,5.796e+13,5.778e+13,6.015e+13,6.059e+13,6.125e+13,6.285e+13,6.478e+13,5.961e+13,6.311e+13,6.497e+13,6.189e+13,6.239e+13,6.282e+13,5.881e+13,6.067e+13,6.044e+13,6.275e+13,6.082e+13,6.136e+13,6.211e+13,6.234e+13,6.188e+13,5.961e+13,5.887e+13,5.818e+13,5.926e+13,5.94e+13,6.061e+13,5.902e+13,5.976e+13,5.757e+13,5.863e+13,5.955e+13,5.998e+13,6.244e+13,6.242e+13,6.392e+13,6.501e+13,6.583e+13,6.685e+13,6.754e+13,6.62e+13,7.043e+13,7.131e+13,7.215e+13,7.277e+13,7.244e+13,7.125e+13,7.089e+13
30,20.5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361500,57100000,1.166e+09,6.23e+09,8.218e+09,1.449e+10,1.635e+10,2.598e+10,3.807e+10,4.536e+10,6.023e+10,1.17e+11,1.317e+11,1.93e+11,2.364e+11,4.052e+11,1.047e+12,2.582e+12,4.465e+12,5.287e+12,6.397e+12,6.743e+12,7.259e+12,7.997e+12,7.565e+12,9.933e+12,1.065e+13,9.906e+12,1.173e+13,9.099e+12,1.223e+13,9.754e+12,1.862e+13,1.951e+13,2.065e+13,2.21e+13,2.288e+13,2.236e+13,2.115e+13,2.513e+13,2.639e+13,2.896e+13,3.148e+13,3.143e+13,3.268e+13,3.301e+13,3.343e+13,3.434e+13,3.526e+13,3.248e+13,3.45e+13,3.554e+13,3.371e+13,3.375e+13,3.411e+13,3.197e+13,3.294e+13,3.264e+13,3.358e+13,3.248e+13,3.282e+13,3.312e+13,3.32e+13,3.291e+13,3.149e+13,3.087e+13,3.038e+13,3.094e+13,3.123e+13,3.211e+13,3.136e+13,3.162e+13,3.026e+13,3.089e+13,3.175e+13,3.24e+13,3.409e+13,3.438e+13,3.554e+13,3.651e+13,3.735e+13,3.827e+13,3.904e+13,3.88e+13,4.19e+13,4.299e+13,4.397e+13,4.484e+13,4.5e+13,4.458e+13,4.471e+13
45,20.75,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207500,32050000,625400000,3.196e+09,4.147e+09,7.122e+09,7.867e+09,1.215e+10,1.722e+10,2.007e+10,2.523e+10,4.768e+10,5.117e+10,7.082e+10,8.464e+10,1.316e+11,3.175e+11,8.276e+11,1.542e+12,1.944e+12,2.42e+12,2.586e+12,2.775e+12,3.065e+12,2.898e+12,3.802e+12,4.068e+12,3.778e+12,4.464e+12,3.458e+12,4.64e+12,3.697e+12,7.05e+12,7.38e+12,7.806e+12,8.348e+12,8.639e+12,8.437e+12,7.982e+12,9.482e+12,9.943e+12,1.091e+13,1.186e+13,1.184e+13,1.225e+13,1.238e+13,1.254e+13,1.286e+13,1.306e+13,1.202e+13,1.279e+13,1.315e+13,1.232e+13,1.213e+13,1.23e+13,1.151e+13,1.179e+13,1.151e+13,1.16e+13,1.113e+13,1.124e+13,1.123e+13,1.119e+13,1.102e+13,1.037e+13,9.992e+12,9.726e+12,9.86e+12,1.005e+13,1.045e+13,1.023e+13,1.02e+13,9.611e+12,9.821e+12,1.028e+13,1.072e+13,1.147e+13,1.173e+13,1.23e+13,1.283e+13,1.334e+13,1.387e+13,1.435e+13,1.455e+13,1.608e+13,1.681e+13,1.746e+13,1.808e+13,1.831e+13,1.829e+13,1.851e+13
60,21,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61980,9722000,188500000,944700000,1.216e+09,2.057e+09,2.244e+09,3.408e+09,4.729e+09,5.43e+09,6.588e+09,1.222e+10,1.27e+10,1.688e+10,1.982e+10,2.825e+10,5.984e+10,1.418e+11,2.638e+11,3.417e+11,4.318e+11,4.643e+11,4.939e+11,5.435e+11,5.104e+11,6.647e+11,7.048e+11,6.492e+11,7.594e+11,5.829e+11,7.758e+11,6.12e+11,1.157e+12,1.2e+12,1.258e+12,1.333e+12,1.368e+12,1.323e+12,1.242e+12,1.463e+12,1.519e+12,1.653e+12,1.785e+12,1.768e+12,1.802e+12,1.813e+12,1.823e+12,1.854e+12,1.842e+12,1.682e+12,1.787e+12,1.821e+12,1.67e+12,1.597e+12,1.619e+12,1.508e+12,1.526e+12,1.454e+12,1.419e+12,1.344e+12,1.353e+12,1.332e+12,1.314e+12,1.282e+12,1.179e+12,1.109e+12,1.064e+12,1.074e+12,1.112e+12,1.176e+12,1.159e+12,1.141e+12,1.055e+12,1.084e+12,1.17e+12,1.263e+12,1.392e+12,1.458e+12,1.571e+12,1.687e+12,1.806e+12,1.927e+12,2.051e+12,2.168e+12,2.507e+12,2.727e+12,2.928e+12,3.136e+12,3.256e+12,3.323e+12,3.444e+12
75,21.25,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3351,560500,11570000,60210000,78430000,134800000,148700000,228700000,321500000,3.72e+08,457500000,854700000,895200000,1.199e+09,1.412e+09,2.023e+09,4.239e+09,9.594e+09,1.714e+10,2.153e+10,2.671e+10,2.833e+10,2.984e+10,3.245e+10,3.012e+10,3.877e+10,4.048e+10,3.721e+10,4.296e+10,3.256e+10,4.27e+10,3.284e+10,6.187e+10,6.334e+10,6.559e+10,6.777e+10,6.915e+10,6.577e+10,6.084e+10,7.018e+10,7.155e+10,7.713e+10,8.17e+10,7.948e+10,7.985e+10,7.894e+10,7.792e+10,7.775e+10,7.598e+10,6.781e+10,7.079e+10,7.068e+10,6.352e+10,5.972e+10,5.926e+10,5.409e+10,5.359e+10,4.998e+10,4.784e+10,4.448e+10,4.374e+10,4.221e+10,4.074e+10,3.859e+10,3.485e+10,3.215e+10,3.022e+10,2.986e+10,3.013e+10,3.11e+10,2.983e+10,2.879e+10,2.608e+10,2.612e+10,2.756e+10,2.902e+10,3.144e+10,3.213e+10,3.418e+10,3.617e+10,3.82e+10,4.033e+10,4.233e+10,4.4e+10,5.019e+10,5.396e+10,5.719e+10,6.073e+10,6.226e+10,6.296e+10,6.453e+10
90,21.5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.39,17470,360700,1815000,2332000,3909000,4233000,6348000,8652000,9847000,11540000,21120000,21300000,27200000,31540000,40970000,74060000,142100000,234900000,283200000,350500000,375400000,405100000,448600000,425300000,559100000,598400000,556800000,657600000,509200000,682900000,542700000,1.034e+09,1.08e+09,1.14e+09,1.215e+09,1.254e+09,1.22e+09,1.151e+09,1.362e+09,1.423e+09,1.556e+09,1.685e+09,1.676e+09,1.729e+09,1.742e+09,1.758e+09,1.797e+09,1.825e+09,1.674e+09,1.776e+09,1.822e+09,1.711e+09,1.695e+09,1.712e+09,1.601e+09,1.642e+09,1.615e+09,1.649e+09,1.591e+09,1.605e+09,1.616e+09,1.618e+09,1.601e+09,1.53e+09,1.499e+09,1.476e+09,1.503e+09,1.517e+09,1.559e+09,1.523e+09,1.536e+09,1.472e+09,1.503e+09,1.543e+09,1.575e+09,1.66e+09,1.677e+09,1.739e+09,1.793e+09,1.844e+09,1.9e+09,1.95e+09,1.959e+09,2.148e+09,2.235e+09,2.317e+09,2.399e+09,2.434e+09,2.436e+09,2.472e+09
105,21.75,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.215e-29,1.05e-24,7.464e-22,1.108e-18,7.784e-16,2.919e-14,2.013e-11,5.045e-10,2.025e-08,8.921e-07,4.245e-06,0.0008367,0.3095,34.24,379.9,1575,3998,7246,11240,18250,24210,43390,61920,75170,114200,112100,187900,184600,429400,542000,683700,865000,1049000,1186000,1296000,1760000,2084000,2575000,3144000,3495000,3911000,4386000,4870000,5422000,5710000,5660000,6567000,7191000,6866000,6718000,7361000,7289000,7711000,7482000,7292000,7131000,7538000,7598000,7717000,7829000,7173000,6675000,6450000,6673000,7379000,8335000,8546000,8403000,7660000,8119000,9519000,11210000,13310000,14830000,17030000,19540000,22350000,25260000,28670000,33150000,42250000,50020000,57790000,66520000,73030000,78380000,85620000
120,22,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,22.25,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
