"Time","AbsTime","SolarElevationAngle","SolarAzimuthAngle","x120","x121.4","x121.9","x122.3","x123.1","x123.8","x124.6","x125.4","x126.2","x127","x128.6","x129.4","x130.3","x132","x135","x137","x145","x155","x165","x170","x174.4","x177","x178.6","x180.2","x181.8","x183.5","x185.2","x186.9","x188.7","x190.5","x192.3","x194.2","x196.1","x198","x200","x202","x204.1","x205.8","x208.333","x210.526","x212.766","x215.054","x217.391","x219.78","x222.222","x224.719","x227.273","x229.885","x232.558","x235.294","x238.095","x240.964","x243.902","x246.914","x250","x253.165","x256.41","x259.74","x263.158","x266.667","x270.27","x273.973","x277.778","x281.69","x285.714","x289.855","x294.118","x298.5","x302.5","x303.5","x304.5","x305.5","x306.5","x307.5","x308.5","x309.5","x310.5","x311.5","x312.5","x313.5","x314.5","x317.5","x322.5","x327.5","x332.5","x337.5","x342.5","x347.5","x352.5","x357.5","x362.5","x367.5","x372.5","x377.5","x382.5","x387.5","x392.5","x397.5","x402.5","x407.5","x412.5","x417.5","x422.5","x427.5","x432.5","x437.5","x442.5","x447.5","x452.5","x457.5","x462.5","x467.5","x472.5","x477.5","x482.5","x487.5","x492.5","x497.5","x502.5","x507.5","x512.5","x517.5","x522.5","x527.5","x532.5","x537.5","x542.5","x547.5","x552.5","x557.5","x562.5","x567.5","x572.5","x577.5","x582.5","x587.5","x592.5","x597.5","x602.5","x607.5","x612.5","x617.5","x622.5","x627.5","x632.5","x637.5","x642.5","x647.1","x655","x665","x675","x685","x695","x705","x715","x725"
0,12,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56e+09,2.182e+11,2.212e+12,8.019e+12,9.411e+12,1.405e+13,1.399e+13,1.912e+13,2.368e+13,2.534e+13,2.634e+13,4.535e+13,4.179e+13,4.819e+13,5.328e+13,5.704e+13,7.655e+13,1.012e+14,1.274e+14,1.22e+14,1.326e+14,1.304e+14,1.357e+14,1.429e+14,1.3e+14,1.646e+14,1.703e+14,1.531e+14,1.752e+14,1.315e+14,1.71e+14,1.321e+14,2.442e+14,2.48e+14,2.547e+14,2.643e+14,2.658e+14,2.528e+14,2.324e+14,2.689e+14,2.757e+14,2.952e+14,3.13e+14,3.054e+14,3.133e+14,3.09e+14,3.065e+14,3.094e+14,3.171e+14,2.874e+14,2.988e+14,3.038e+14,2.888e+14,2.923e+14,2.896e+14,2.68e+14,2.75e+14,2.751e+14,2.887e+14,2.793e+14,2.792e+14,2.828e+14,2.832e+14,2.801e+14,2.724e+14,2.721e+14,2.701e+14,2.744e+14,2.703e+14,2.708e+14,2.614e+14,2.663e+14,2.594e+14,2.625e+14,2.598e+14,2.544e+14,2.587e+14,2.537e+14,2.546e+14,2.534e+14,2.512e+14,2.503e+14,2.478e+14,2.361e+14,2.435e+14,2.401e+14,2.376e+14,2.345e+14,2.299e+14,2.232e+14,2.189e+14
15,12.25,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.079e+09,2.369e+11,2.33e+12,8.34e+12,9.758e+12,1.451e+13,1.442e+13,1.965e+13,2.428e+13,2.595e+13,2.691e+13,4.628e+13,4.259e+13,4.904e+13,5.419e+13,5.789e+13,7.753e+13,1.023e+14,1.286e+14,1.231e+14,1.337e+14,1.314e+14,1.367e+14,1.439e+14,1.309e+14,1.657e+14,1.714e+14,1.541e+14,1.763e+14,1.323e+14,1.719e+14,1.328e+14,2.454e+14,2.491e+14,2.559e+14,2.655e+14,2.669e+14,2.539e+14,2.334e+14,2.699e+14,2.767e+14,2.962e+14,3.141e+14,3.065e+14,3.143e+14,3.1e+14,3.075e+14,3.103e+14,3.181e+14,2.883e+14,2.997e+14,3.046e+14,2.896e+14,2.932e+14,2.904e+14,2.688e+14,2.757e+14,2.758e+14,2.895e+14,2.8e+14,2.8e+14,2.836e+14,2.84e+14,2.809e+14,2.731e+14,2.728e+14,2.708e+14,2.752e+14,2.71e+14,2.715e+14,2.621e+14,2.67e+14,2.601e+14,2.632e+14,2.605e+14,2.551e+14,2.594e+14,2.543e+14,2.552e+14,2.541e+14,2.517e+14,2.509e+14,2.484e+14,2.366e+14,2.44e+14,2.406e+14,2.381e+14,2.35e+14,2.304e+14,2.236e+14,2.193e+14
30,12.5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.516e+09,2.52e+11,2.421e+12,8.588e+12,1.003e+13,1.487e+13,1.474e+13,2.006e+13,2.474e+13,2.641e+13,2.734e+13,4.699e+13,4.32e+13,4.969e+13,5.488e+13,5.854e+13,7.826e+13,1.031e+14,1.295e+14,1.239e+14,1.345e+14,1.322e+14,1.375e+14,1.447e+14,1.316e+14,1.665e+14,1.722e+14,1.548e+14,1.77e+14,1.328e+14,1.726e+14,1.333e+14,2.463e+14,2.5e+14,2.567e+14,2.664e+14,2.678e+14,2.546e+14,2.34e+14,2.707e+14,2.775e+14,2.97e+14,3.149e+14,3.073e+14,3.151e+14,3.107e+14,3.082e+14,3.11e+14,3.188e+14,2.889e+14,3.003e+14,3.052e+14,2.902e+14,2.938e+14,2.909e+14,2.693e+14,2.763e+14,2.764e+14,2.901e+14,2.806e+14,2.805e+14,2.841e+14,2.845e+14,2.814e+14,2.736e+14,2.733e+14,2.713e+14,2.757e+14,2.715e+14,2.72e+14,2.626e+14,2.675e+14,2.606e+14,2.637e+14,2.61e+14,2.555e+14,2.598e+14,2.548e+14,2.557e+14,2.545e+14,2.522e+14,2.513e+14,2.488e+14,2.37e+14,2.444e+14,2.41e+14,2.385e+14,2.354e+14,2.307e+14,2.24e+14,2.197e+14
45,12.75,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84e+09,2.628e+11,2.486e+12,8.761e+12,1.021e+13,1.512e+13,1.497e+13,2.034e+13,2.506e+13,2.673e+13,2.764e+13,4.748e+13,4.361e+13,5.013e+13,5.535e+13,5.898e+13,7.876e+13,1.037e+14,1.302e+14,1.245e+14,1.351e+14,1.327e+14,1.38e+14,1.452e+14,1.321e+14,1.67e+14,1.728e+14,1.552e+14,1.775e+14,1.332e+14,1.731e+14,1.336e+14,2.469e+14,2.506e+14,2.573e+14,2.67e+14,2.683e+14,2.551e+14,2.345e+14,2.712e+14,2.78e+14,2.975e+14,3.154e+14,3.078e+14,3.156e+14,3.112e+14,3.087e+14,3.115e+14,3.192e+14,2.893e+14,3.007e+14,3.057e+14,2.906e+14,2.941e+14,2.913e+14,2.696e+14,2.766e+14,2.767e+14,2.904e+14,2.809e+14,2.809e+14,2.844e+14,2.849e+14,2.817e+14,2.74e+14,2.737e+14,2.717e+14,2.761e+14,2.718e+14,2.724e+14,2.629e+14,2.678e+14,2.609e+14,2.64e+14,2.613e+14,2.558e+14,2.601e+14,2.55e+14,2.56e+14,2.548e+14,2.524e+14,2.515e+14,2.491e+14,2.372e+14,2.446e+14,2.412e+14,2.387e+14,2.356e+14,2.309e+14,2.242e+14,2.199e+14
60,13,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.024e+09,2.689e+11,2.521e+12,8.856e+12,1.031e+13,1.525e+13,1.509e+13,2.05e+13,2.523e+13,2.691e+13,2.781e+13,4.774e+13,4.384e+13,5.038e+13,5.561e+13,5.922e+13,7.903e+13,1.04e+14,1.305e+14,1.248e+14,1.354e+14,1.33e+14,1.383e+14,1.455e+14,1.323e+14,1.673e+14,1.73e+14,1.555e+14,1.778e+14,1.334e+14,1.733e+14,1.338e+14,2.472e+14,2.509e+14,2.576e+14,2.673e+14,2.686e+14,2.554e+14,2.347e+14,2.715e+14,2.782e+14,2.978e+14,3.157e+14,3.08e+14,3.158e+14,3.114e+14,3.089e+14,3.117e+14,3.195e+14,2.895e+14,3.009e+14,3.059e+14,2.908e+14,2.944e+14,2.915e+14,2.698e+14,2.768e+14,2.769e+14,2.906e+14,2.811e+14,2.811e+14,2.846e+14,2.85e+14,2.819e+14,2.741e+14,2.739e+14,2.718e+14,2.762e+14,2.72e+14,2.725e+14,2.63e+14,2.68e+14,2.611e+14,2.642e+14,2.615e+14,2.56e+14,2.603e+14,2.552e+14,2.561e+14,2.549e+14,2.526e+14,2.517e+14,2.492e+14,2.373e+14,2.447e+14,2.413e+14,2.388e+14,2.357e+14,2.31e+14,2.243e+14,2.2e+14
75,13.25,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.055e+09,2.699e+11,2.527e+12,8.872e+12,1.033e+13,1.527e+13,1.511e+13,2.052e+13,2.526e+13,2.694e+13,2.783e+13,4.779e+13,4.388e+13,5.041e+13,5.565e+13,5.926e+13,7.908e+13,1.04e+14,1.306e+14,1.248e+14,1.354e+14,1.33e+14,1.383e+14,1.455e+14,1.324e+14,1.674e+14,1.731e+14,1.555e+14,1.779e+14,1.334e+14,1.733e+14,1.338e+14,2.473e+14,2.51e+14,2.577e+14,2.673e+14,2.687e+14,2.555e+14,2.348e+14,2.715e+14,2.783e+14,2.979e+14,3.158e+14,3.081e+14,3.159e+14,3.115e+14,3.09e+14,3.117e+14,3.195e+14,2.895e+14,3.01e+14,3.059e+14,2.908e+14,2.944e+14,2.915e+14,2.698e+14,2.768e+14,2.769e+14,2.906e+14,2.811e+14,2.811e+14,2.846e+14,2.85e+14,2.82e+14,2.741e+14,2.739e+14,2.719e+14,2.763e+14,2.721e+14,2.726e+14,2.631e+14,2.68e+14,2.611e+14,2.642e+14,2.615e+14,2.56e+14,2.603e+14,2.552e+14,2.561e+14,2.549e+14,2.526e+14,2.517e+14,2.492e+14,2.374e+14,2.447e+14,2.413e+14,2.388e+14,2.357e+14,2.31e+14,2.243e+14,2.2e+14
90,13.5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93e+09,2.658e+11,2.503e+12,8.808e+12,1.026e+13,1.518e+13,1.503e+13,2.042e+13,2.514e+13,2.682e+13,2.772e+13,4.761e+13,4.373e+13,5.025e+13,5.547e+13,5.91e+13,7.889e+13,1.038e+14,1.303e+14,1.246e+14,1.352e+14,1.328e+14,1.382e+14,1.453e+14,1.322e+14,1.672e+14,1.729e+14,1.554e+14,1.777e+14,1.333e+14,1.732e+14,1.337e+14,2.471e+14,2.508e+14,2.575e+14,2.671e+14,2.685e+14,2.553e+14,2.346e+14,2.713e+14,2.781e+14,2.977e+14,3.156e+14,3.079e+14,3.157e+14,3.113e+14,3.088e+14,3.116e+14,3.193e+14,2.894e+14,3.008e+14,3.058e+14,2.907e+14,2.942e+14,2.914e+14,2.697e+14,2.767e+14,2.768e+14,2.905e+14,2.81e+14,2.81e+14,2.845e+14,2.85e+14,2.818e+14,2.74e+14,2.738e+14,2.717e+14,2.761e+14,2.719e+14,2.724e+14,2.63e+14,2.679e+14,2.61e+14,2.641e+14,2.614e+14,2.559e+14,2.602e+14,2.551e+14,2.56e+14,2.548e+14,2.525e+14,2.516e+14,2.491e+14,2.373e+14,2.446e+14,2.412e+14,2.387e+14,2.356e+14,2.31e+14,2.242e+14,2.199e+14
105,13.75,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.659e+09,2.568e+11,2.45e+12,8.666e+12,1.011e+13,1.498e+13,1.485e+13,2.019e+13,2.488e+13,2.656e+13,2.748e+13,4.721e+13,4.338e+13,4.989e+13,5.509e+13,5.873e+13,7.848e+13,1.034e+14,1.298e+14,1.242e+14,1.348e+14,1.324e+14,1.377e+14,1.449e+14,1.318e+14,1.667e+14,1.725e+14,1.55e+14,1.773e+14,1.33e+14,1.728e+14,1.334e+14,2.466e+14,2.503e+14,2.57e+14,2.666e+14,2.68e+14,2.549e+14,2.342e+14,2.709e+14,2.777e+14,2.973e+14,3.151e+14,3.075e+14,3.153e+14,3.109e+14,3.084e+14,3.112e+14,3.19e+14,2.891e+14,3.005e+14,3.054e+14,2.904e+14,2.939e+14,2.911e+14,2.694e+14,2.764e+14,2.765e+14,2.902e+14,2.807e+14,2.807e+14,2.842e+14,2.847e+14,2.816e+14,2.738e+14,2.735e+14,2.715e+14,2.759e+14,2.717e+14,2.722e+14,2.627e+14,2.676e+14,2.607e+14,2.638e+14,2.611e+14,2.556e+14,2.6e+14,2.549e+14,2.558e+14,2.546e+14,2.523e+14,2.514e+14,2.489e+14,2.371e+14,2.445e+14,2.411e+14,2.386e+14,2.355e+14,2.308e+14,2.241e+14,2.198e+14
120,14,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.263e+09,2.434e+11,2.369e+12,8.447e+12,9.874e+12,1.467e+13,1.456e+13,1.983e+13,2.448e+13,2.615e+13,2.71e+13,4.659e+13,4.285e+13,4.932e+13,5.448e+13,5.817e+13,7.784e+13,1.027e+14,1.29e+14,1.234e+14,1.34e+14,1.317e+14,1.371e+14,1.442e+14,1.312e+14,1.66e+14,1.717e+14,1.544e+14,1.766e+14,1.325e+14,1.722e+14,1.33e+14,2.458e+14,2.495e+14,2.562e+14,2.659e+14,2.673e+14,2.542e+14,2.336e+14,2.703e+14,2.771e+14,2.966e+14,3.145e+14,3.068e+14,3.147e+14,3.103e+14,3.078e+14,3.106e+14,3.184e+14,2.885e+14,3e+14,3.049e+14,2.899e+14,2.934e+14,2.906e+14,2.69e+14,2.76e+14,2.761e+14,2.897e+14,2.802e+14,2.802e+14,2.838e+14,2.842e+14,2.811e+14,2.733e+14,2.73e+14,2.71e+14,2.754e+14,2.712e+14,2.718e+14,2.623e+14,2.672e+14,2.603e+14,2.634e+14,2.607e+14,2.553e+14,2.596e+14,2.545e+14,2.554e+14,2.543e+14,2.519e+14,2.511e+14,2.486e+14,2.368e+14,2.441e+14,2.408e+14,2.383e+14,2.351e+14,2.305e+14,2.238e+14,2.195e+14
135,14.25,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.772e+09,2.26e+11,2.262e+12,8.154e+12,9.557e+12,1.424e+13,1.417e+13,1.934e+13,2.393e+13,2.56e+13,2.658e+13,4.574e+13,4.213e+13,4.855e+13,5.366e+13,5.739e+13,7.697e+13,1.017e+14,1.279e+14,1.225e+14,1.33e+14,1.308e+14,1.361e+14,1.433e+14,1.304e+14,1.65e+14,1.708e+14,1.535e+14,1.757e+14,1.318e+14,1.714e+14,1.324e+14,2.447e+14,2.485e+14,2.552e+14,2.648e+14,2.663e+14,2.533e+14,2.328e+14,2.693e+14,2.761e+14,2.956e+14,3.135e+14,3.059e+14,3.137e+14,3.094e+14,3.07e+14,3.098e+14,3.175e+14,2.878e+14,2.992e+14,3.041e+14,2.891e+14,2.927e+14,2.899e+14,2.683e+14,2.753e+14,2.754e+14,2.89e+14,2.796e+14,2.796e+14,2.831e+14,2.836e+14,2.805e+14,2.727e+14,2.724e+14,2.704e+14,2.748e+14,2.706e+14,2.711e+14,2.617e+14,2.666e+14,2.597e+14,2.628e+14,2.601e+14,2.547e+14,2.59e+14,2.54e+14,2.549e+14,2.537e+14,2.514e+14,2.506e+14,2.481e+14,2.363e+14,2.437e+14,2.403e+14,2.378e+14,2.347e+14,2.301e+14,2.234e+14,2.191e+14
