"Time","AbsTime","SolarElevationAngle","SolarAzimuthAngle","x120","x121.4","x121.9","x122.3","x123.1","x123.8","x124.6","x125.4","x126.2","x127","x128.6","x129.4","x130.3","x132","x135","x137","x145","x155","x165","x170","x174.4","x177","x178.6","x180.2","x181.8","x183.5","x185.2","x186.9","x188.7","x190.5","x192.3","x194.2","x196.1","x198","x200","x202","x204.1","x205.8","x208.333","x210.526","x212.766","x215.054","x217.391","x219.78","x222.222","x224.719","x227.273","x229.885","x232.558","x235.294","x238.095","x240.964","x243.902","x246.914","x250","x253.165","x256.41","x259.74","x263.158","x266.667","x270.27","x273.973","x277.778","x281.69","x285.714","x289.855","x294.118","x298.5","x302.5","x303.5","x304.5","x305.5","x306.5","x307.5","x308.5","x309.5","x310.5","x311.5","x312.5","x313.5","x314.5","x317.5","x322.5","x327.5","x332.5","x337.5","x342.5","x347.5","x352.5","x357.5","x362.5","x367.5","x372.5","x377.5","x382.5","x387.5","x392.5","x397.5","x402.5","x407.5","x412.5","x417.5","x422.5","x427.5","x432.5","x437.5","x442.5","x447.5","x452.5","x457.5","x462.5","x467.5","x472.5","x477.5","x482.5","x487.5","x492.5","x497.5","x502.5","x507.5","x512.5","x517.5","x522.5","x527.5","x532.5","x537.5","x542.5","x547.5","x552.5","x557.5","x562.5","x567.5","x572.5","x577.5","x582.5","x587.5","x592.5","x597.5","x602.5","x607.5","x612.5","x617.5","x622.5","x627.5","x632.5","x637.5","x642.5","x647.1","x655","x665","x675","x685","x695","x705","x715","x725"
0,20,9.00634521134494,291.171929017632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.911e-13,0.002666,805,185000,602000,3163000,7264000,23780000,65510000,113700000,264900000,6.67e+08,1.011e+09,1.887e+09,2.646e+09,5.835e+09,1.921e+10,5.694e+10,1.228e+11,1.826e+11,2.824e+11,3.783e+11,5.16e+11,7.036e+11,8.131e+11,1.286e+12,1.64e+12,1.793e+12,2.467e+12,2.203e+12,3.374e+12,3.042e+12,6.511e+12,7.594e+12,8.893e+12,1.046e+13,1.184e+13,1.259e+13,1.289e+13,1.65e+13,1.862e+13,2.186e+13,2.533e+13,2.688e+13,2.975e+13,3.172e+13,3.387e+13,3.663e+13,3.983e+13,3.847e+13,4.263e+13,4.591e+13,4.581e+13,4.837e+13,5.063e+13,4.927e+13,5.284e+13,5.481e+13,5.927e+13,5.955e+13,6.208e+13,6.503e+13,6.744e+13,6.956e+13,6.929e+13,7.075e+13,7.208e+13,7.548e+13,7.738e+13,8.068e+13,8.044e+13,8.368e+13,8.289e+13,8.633e+13,8.91e+13,9.107e+13,9.63e+13,9.784e+13,1.018e+14,1.05e+14,1.078e+14,1.11e+14,1.142e+14,1.148e+14,1.255e+14,1.305e+14,1.356e+14,1.403e+14,1.434e+14,1.447e+14,1.475e+14
15,20.25,6.15969211460556,293.103461693851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438e-21,5.061e-09,0.09544,116.8,575,5027,16210,75680,288800,610700,1977000,5822000,10820000,24620000,38090000,113100000,5.4e+08,2.239e+09,6.038e+09,1.077e+10,1.926e+10,2.93e+10,4.463e+10,6.761e+10,8.607e+10,1.49e+11,2.065e+11,2.443e+11,3.617e+11,3.46e+11,5.654e+11,5.418e+11,1.228e+12,1.512e+12,1.863e+12,2.299e+12,2.724e+12,3.024e+12,3.224e+12,4.292e+12,5.023e+12,6.104e+12,7.309e+12,8.004e+12,9.112e+12,9.998e+12,1.097e+13,1.216e+13,1.351e+13,1.335e+13,1.514e+13,1.665e+13,1.689e+13,1.809e+13,1.932e+13,1.913e+13,2.084e+13,2.187e+13,2.388e+13,2.431e+13,2.57e+13,2.723e+13,2.857e+13,2.988e+13,2.999e+13,3.082e+13,3.165e+13,3.348e+13,3.48e+13,3.679e+13,3.708e+13,3.882e+13,3.863e+13,4.061e+13,4.254e+13,4.415e+13,4.733e+13,4.868e+13,5.126e+13,5.356e+13,5.569e+13,5.798e+13,6.045e+13,6.19e+13,6.899e+13,7.305e+13,7.714e+13,8.107e+13,8.395e+13,8.578e+13,8.853e+13
30,20.5,3.39718650695109,295.086547540647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.311e-19,5.269e-09,9.041e-05,0.0008657,0.017,0.09501,0.7855,5.077,14.94,82.22,316,824,2602,4801,23630,218700,1688000,7086000,18300000,44550000,89120000,173100000,330100000,519700000,1.097e+09,1.829e+09,2.572e+09,4.48e+09,4.991e+09,9.411e+09,1.032e+10,2.657e+10,3.688e+10,5.089e+10,6.991e+10,9.164e+10,1.12e+11,1.308e+11,1.897e+11,2.408e+11,3.163e+11,4.079e+11,4.792e+11,5.818e+11,6.809e+11,7.936e+11,9.323e+11,1.089e+12,1.134e+12,1.354e+12,1.562e+12,1.651e+12,1.834e+12,2.047e+12,2.111e+12,2.385e+12,2.582e+12,2.896e+12,3.041e+12,3.325e+12,3.623e+12,3.91e+12,4.229e+12,4.335e+12,4.544e+12,4.769e+12,5.166e+12,5.534e+12,6.025e+12,6.225e+12,6.632e+12,6.698e+12,7.198e+12,7.769e+12,8.312e+12,9.162e+12,9.666e+12,1.044e+13,1.119e+13,1.193e+13,1.271e+13,1.362e+13,1.449e+13,1.683e+13,1.85e+13,2.022e+13,2.197e+13,2.343e+13,2.461e+13,2.61e+13
45,20.75,0.809299231232415,297.129442429188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.929e-27,3.205e-21,8.36e-20,5.174e-18,6.755e-17,1.318e-15,1.912e-14,9.994e-14,1.222e-12,7.706e-12,3.551e-11,1.956e-10,5.259e-10,6.5e-09,2.448e-07,8.08e-06,0.0001113,0.0008255,0.005135,0.02424,0.1037,0.4147,1.304,5.26,16.12,40.16,119.9,222,676.3,1167,4617,9626,19540,38720,71900,122300,195900,384000,648800,1121000,1878000,2834000,4359000,6423000,9329000,13530000,19230000,24320000,35070000,48360000,60410000,78600000,103200000,124300000,162600000,201900000,257500000,308300000,384100000,472600000,574600000,711500000,810500000,940100000,1.093e+09,1.311e+09,1.564e+09,1.892e+09,2.155e+09,2.505e+09,2.747e+09,3.228e+09,3.839e+09,4.522e+09,5.462e+09,6.29e+09,7.406e+09,8.642e+09,1.002e+10,1.153e+10,1.36e+10,1.654e+10,2.216e+10,2.79e+10,3.466e+10,4.259e+10,5.098e+10,5.979e+10,7.056e+10
60,21,-2.22983044513312,299.240489251351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,21.25,-4.99414519220968,301.428146938236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,21.5,-7.64337405522921,303.700990191816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,21.75,-10.2110238181441,306.067674934542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,22,-12.6968253003185,308.536862669237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,22.25,-15.0949246441451,311.117095367287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
