#,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,g/min,number/min
ProfileName,HCOOH,CCO_OH,RCO_OH,SO2,ALK1,ALK2,ALK3,ALK4,ALK5,ARO1,ARO2,MEOH,BALD,PHEN,HCHO,CCHO,RCHO,CO,GLY,MGLY,METHACRO,ACET,ETHENE,ISOPRENE,TERP,OLE1,OLE2,MEK,CH4,NO2,NO,CO2,NH3,Tracer,PM25,PM25_10,UFP
Uncertainty,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.1,0.1,0.2
Generic,1.68E-04,3.93E-04,0.00E+00,0,1.11E-05,7.92E-06,7.34E-04,4.58E-05,1.28E-04,2.69E-04,8.55E-05,3.84E-05,1.13E-05,2.63E-05,1.98E-02,4.09E-05,4.61E-05,4.48E-03,3.33E-06,3.33E-06,0.00E+00,5.00E-05,5.04E-06,1.63E-05,1.07E-04,4.36E-06,2.27E-05,9.00E-05,2.88E-03,0.00E+00,2.58E-07,0.00E+00,1.70E-05,1.00E+00,0.00E+00,0.00E+00,0.00E+00
Adult,8.08E-07,5.48E-06,6.73E-07,0,0,3.97E-07,6.62E-07,0,0,1.30E-07,0,2.60E-06,0,0,0,1.90E-06,0,5.48E-06,0,0,0,0,0,2.70E-06,3.12E-06,0,0,1.58E-06,0,0,0,5.00E-01,1.00E+00,0,0,0,0
Child,4.04E-07,2.74E-06,3.37E-07,0,0,1.99E-07,3.31E-07,0,0,6.50E-08,0,1.30E-06,0,0,0,9.50E-07,0,2.74E-06,0,0,0,0,0,1.35E-06,1.56E-06,0,0,7.90E-07,0,0,0,2.50E-01,5.00E-01,0,0,0,0
Smoking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vacuuming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasCooking.Persily1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86E-02,0,0,0,0,0,0,0,0,0,0,0,3.82E-03,0,0,0,0,3.82E-06,0,0
Incense.Manoukian2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70E-05,0,0,0,0,0,0,8.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17E+10
Candles.Manoukian2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44E-05,0,0,0,0,0,0,0,0,0,0,0,3.30E+11
Frying.Kang2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80E-03,5.00E-04,0
Frying.Evans2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30E-03,0,5.90E+11
