Wavelength,X,yield
0.28,3.49E-18,1
0.281,3.27E-18,1
0.282,3.13E-18,1
0.283,2.71E-18,1
0.284,2.66E-18,1
0.285,2.64E-18,1
0.286,2.57E-18,1
0.287,2.60E-18,1
0.288,2.81E-18,1
0.289,2.40E-18,1
0.29,2.00E-18,1
0.291,1.41E-18,1
0.292,8.25E-19,1
0.293,6.12E-19,1
0.294,3.99E-19,1
0.295,2.78E-19,1
0.296,1.57E-19,1
0.297,1.34E-19,1
0.298,1.10E-19,1
0.299,9.20E-20,1
0.3,7.40E-20,1
0.301,6.90E-20,1
0.302,6.50E-20,1
0.303,6.60E-20,1
0.304,6.80E-20,1
0.305,7.10E-20,1
0.306,7.30E-20,1
0.307,7.40E-20,1
0.308,7.40E-20,1
0.309,7.30E-20,1
0.31,7.20E-20,1
0.311,6.80E-20,1
0.312,6.80E-20,1
0.313,7.00E-20,1
0.314,8.10E-20,1
0.315,8.90E-20,1
0.316,9.20E-20,1
0.317,9.30E-20,1
0.318,9.10E-20,1
0.319,8.70E-20,1
0.32,8.60E-20,1
0.321,8.40E-20,1
0.322,8.50E-20,1
0.323,8.90E-20,1
0.324,9.10E-20,1
0.325,9.70E-20,1
0.326,1.00E-19,1
0.327,1.00E-19,1
0.328,1.00E-19,1
0.329,1.00E-19,1
0.33,9.30E-20,1
0.331,9.00E-20,1
0.332,8.70E-20,1
0.333,8.50E-20,1
0.334,8.60E-20,1
0.335,8.90E-20,1
0.336,9.30E-20,1
0.337,9.70E-20,1
0.338,1.01E-19,1
0.339,1.04E-19,1
0.34,1.00E-19,1
0.341,9.40E-20,1
0.342,8.60E-20,1
0.343,8.30E-20,1
0.344,7.90E-20,1
0.345,7.40E-20,1
0.346,7.00E-20,1
0.347,6.50E-20,1
0.348,6.10E-20,1
0.349,6.10E-20,1
0.35,6.30E-20,1
0.351,7.00E-20,1
0.352,7.60E-20,1
0.353,8.30E-20,1
0.354,8.40E-20,1
0.355,7.30E-20,1
0.356,6.20E-20,1
0.357,5.50E-20,1
0.358,4.80E-20,1
0.359,4.10E-20,1
0.36,3.30E-20,1
0.361,3.10E-20,1
0.362,2.90E-20,1
0.363,2.60E-20,1
0.364,2.40E-20,1
0.365,2.40E-20,1
0.366,2.50E-20,1
0.367,2.70E-20,1
0.368,2.90E-20,1
0.369,3.30E-20,1
0.37,3.60E-20,1
0.371,4.00E-20,1
0.372,3.30E-20,1
0.373,2.30E-20,1
0.374,1.40E-20,1
0.375,9.90E-21,1
0.376,6.10E-21,1
0.377,4.60E-21,1
0.378,3.00E-21,1
0.379,0.00E+00,1
