Wavelength,X,yield
0.262,2.44E-20,0.326
0.266,3.05E-20,0.358
0.27,3.42E-20,0.39
0.274,4.03E-20,0.466
0.278,4.19E-20,0.542
0.28,4.50E-20,0.58
0.281,4.69E-20,0.575
0.282,4.72E-20,0.57
0.283,4.75E-20,0.565
0.284,4.61E-20,0.56
0.285,4.49E-20,0.555
0.286,4.44E-20,0.55
0.287,4.59E-20,0.545
0.288,4.72E-20,0.54
0.289,4.77E-20,0.535
0.29,4.89E-20,0.53
0.291,4.78E-20,0.52
0.292,4.68E-20,0.51
0.293,4.53E-20,0.5
0.294,4.33E-20,0.49
0.295,4.27E-20,0.48
0.296,4.24E-20,0.47
0.297,4.38E-20,0.46
0.298,4.41E-20,0.45
0.299,4.26E-20,0.44
0.3,4.16E-20,0.43
0.301,3.99E-20,0.418
0.302,3.86E-20,0.406
0.303,3.72E-20,0.394
0.304,3.48E-20,0.382
0.305,3.42E-20,0.37
0.306,3.42E-20,0.354
0.307,3.36E-20,0.338
0.308,3.33E-20,0.322
0.309,3.14E-20,0.306
0.31,2.93E-20,0.29
0.311,2.76E-20,0.266
0.312,2.53E-20,0.242
0.313,2.47E-20,0.218
0.314,2.44E-20,0.194
0.315,2.20E-20,0.17
0.316,2.04E-20,0.156
0.317,2.07E-20,0.142
0.318,1.98E-20,0.128
0.319,1.87E-20,0.114
0.32,1.72E-20,0.1
0.321,1.48E-20,0.088
0.322,1.40E-20,0.076
0.323,1.24E-20,0.064
0.324,1.09E-20,0.052
0.325,1.14E-20,0.04
0.326,1.07E-20,0.032
0.327,8.58E-21,0.024
0.328,7.47E-21,0.016
0.329,7.07E-21,0.008
0.33,6.67E-21,0
