Wavelength,X,yield
0.19,1.36E-17,1
0.195,1.02E-17,1
0.2,5.88E-18,1
0.205,2.80E-18,1
0.21,1.04E-18,1
0.215,3.65E-19,1
0.22,1.49E-19,1
0.225,8.81E-20,1
0.23,5.75E-20,1
0.235,3.75E-20,1
0.24,2.58E-20,1
0.245,2.11E-20,1
0.25,1.97E-20,1
0.255,1.95E-20,1
0.26,1.91E-20,1
0.265,1.80E-20,1
0.27,1.62E-20,1
0.275,1.38E-20,1
0.28,1.12E-20,1
0.285,8.58E-21,1
0.29,6.15E-21,1
0.295,4.12E-21,1
0.3,2.63E-21,1
0.305,1.50E-21,1
0.31,8.10E-22,1
0.315,4.10E-22,1
0.32,2.00E-22,1
0.325,9.50E-23,1
0.33,4.30E-23,1
0.335,2.20E-23,1
0.34,1.00E-23,1
0.345,6.00E-24,1
0.35,4.00E-24,1
0.355,0.00E+00,1
