Wavelength,X,yield
0.185,1.79E-17,1
0.188,1.81E-17,1
0.19,1.79E-17,1
0.195,1.61E-17,1
0.2,1.26E-17,1
0.205,8.67E-18,1
0.21,4.98E-18,1
0.215,2.47E-18,1
0.22,1.17E-18,1
0.225,5.80E-19,1
0.23,3.10E-19,1
0.235,1.80E-19,1
0.24,1.10E-19,1
0.245,7.00E-20,1
0.25,5.70E-20,1
0.255,5.20E-20,1
0.26,4.90E-20,1
0.265,4.60E-20,1
0.27,4.10E-20,1
0.275,3.60E-20,1
0.28,2.90E-20,1
0.285,2.30E-20,1
0.29,1.70E-20,1
0.295,1.20E-20,1
0.3,8.10E-21,1
0.305,5.20E-21,1
0.31,3.20E-21,1
0.315,1.90E-21,1
0.32,1.10E-21,1
0.325,6.10E-22,1
0.33,3.70E-22,1
0.335,0.00E+00,1
