Wavelength,X,yield
0.25,2.07E-21,0.567
0.251,1.94E-21,0.537
0.252,1.87E-21,0.508
0.253,1.80E-21,0.481
0.254,1.78E-21,0.455
0.255,1.77E-21,0.431
0.256,1.80E-21,0.408
0.257,1.80E-21,0.386
0.258,1.86E-21,0.365
0.259,1.93E-21,0.346
0.26,2.01E-21,0.327
0.261,2.11E-21,0.31
0.262,2.24E-21,0.293
0.263,2.41E-21,0.278
0.264,2.63E-21,0.263
0.265,2.83E-21,0.249
0.266,3.05E-21,0.235
0.267,3.33E-21,0.223
0.268,3.63E-21,0.211
0.269,3.98E-21,0.2
0.27,4.36E-21,0.189
0.271,4.79E-21,0.179
0.272,5.20E-21,0.169
0.273,5.67E-21,0.16
0.274,6.16E-21,0.152
0.275,6.73E-21,0.143
0.276,7.32E-21,0.136
0.277,7.93E-21,0.129
0.278,8.63E-21,0.122
0.279,9.36E-21,0.115
0.28,1.01E-20,0.109
0.281,1.09E-20,0.103
0.282,1.18E-20,0.098
0.283,1.26E-20,0.092
0.284,1.35E-20,0.087
0.285,1.45E-20,0.083
0.286,1.56E-20,0.078
0.287,1.67E-20,0.074
0.288,1.79E-20,0.07
0.289,1.90E-20,0.066
0.29,2.03E-20,0.063
0.291,2.16E-20,0.06
0.292,2.28E-20,0.056
0.293,2.40E-20,0.053
0.294,2.52E-20,0.05
0.295,2.68E-20,0.048
0.296,2.85E-20,0.045
0.297,2.99E-20,0.043
0.298,3.13E-20,0.04
0.299,3.26E-20,0.038
0.3,3.44E-20,0.036
0.301,3.61E-20,0.034
0.302,3.76E-20,0.032
0.303,3.91E-20,0.031
0.304,4.04E-20,0.029
0.305,4.19E-20,0.028
0.306,4.40E-20,0.026
0.307,4.58E-20,0.025
0.308,4.71E-20,0.023
0.309,4.81E-20,0.022
0.31,4.92E-20,0.021
0.311,5.13E-20,0.02
0.312,5.35E-20,0.019
0.313,5.50E-20,0.018
0.314,5.61E-20,0.017
0.315,5.70E-20,0.016
0.316,5.87E-20,0.015
0.317,6.04E-20,0.014
0.318,6.19E-20,0.013
0.319,6.28E-20,0.013
0.32,6.27E-20,0.012
0.321,6.18E-20,0.011
0.322,6.21E-20,0.011
0.323,6.34E-20,0.01
0.324,6.58E-20,0.01
0.325,6.74E-20,0.009
0.326,6.73E-20,0.009
0.327,6.68E-20,0.008
0.328,6.83E-20,0.008
0.329,7.07E-20,0.007
0.33,7.15E-20,0.007
0.331,7.16E-20,0.007
0.332,7.03E-20,0.006
0.333,6.69E-20,0.006
0.334,6.41E-20,0.006
0.335,6.08E-20,0.005
0.336,5.97E-20,0.005
0.337,6.25E-20,0.005
0.338,6.38E-20,0.004
0.339,6.37E-20,0.004
0.34,6.24E-20,0.004
0.341,6.02E-20,0.004
0.342,5.98E-20,0.004
0.343,6.58E-20,0.003
0.344,6.79E-20,0.003
0.345,6.53E-20,0.003
0.346,6.11E-20,0.003
0.347,5.63E-20,0.003
0.348,5.22E-20,0.003
0.349,4.55E-20,0.002
0.35,4.16E-20,0.002
0.351,3.85E-20,0.002
0.352,3.89E-20,0.002
0.353,4.35E-20,0.002
0.354,4.31E-20,0.002
0.355,4.14E-20,0.002
0.356,3.62E-20,0.002
0.357,3.53E-20,0.002
0.358,3.46E-20,0.001
0.359,3.81E-20,0.001
0.36,5.05E-20,0.001
0.361,4.28E-20,0.001
0.362,3.61E-20,0.001
0.363,2.86E-20,0.001
0.364,2.68E-20,0.001
0.365,2.33E-20,0.001
0.366,1.92E-20,0.001
0.367,1.62E-20,0.001
0.368,1.40E-20,0.001
0.369,1.31E-20,0.001
0.37,1.42E-20,0.001
0.371,1.67E-20,0.001
0.372,1.53E-20,0.001
0.373,1.43E-20,0.001
0.374,1.08E-20,0.001
0.375,9.77E-21,0.001
0.376,1.00E-20,0.001
0.377,1.07E-20,0.001
0.378,1.35E-20,0
0.379,2.18E-20,0
0.38,1.30E-20,0
0.381,9.84E-21,0
0.382,5.55E-21,0
0.383,4.56E-21,0
0.384,3.64E-21,0
0.385,3.31E-21,0
0.386,2.46E-21,0
0.387,2.05E-21,0
0.388,1.81E-21,0
0.389,1.61E-21,0
0.39,1.47E-21,0
0.391,1.56E-21,0
0.392,1.59E-21,0
0.393,1.53E-21,0
0.394,1.49E-21,0
0.395,1.23E-21,0
