Wavelength,X,yield
0.403,2.00E-20,1
0.404,0.00E+00,1
0.405,3.00E-20,1
0.406,2.00E-20,1
0.407,1.00E-20,1
0.408,3.00E-20,1
0.409,0.00E+00,1
0.41,1.00E-20,1
0.411,2.00E-20,1
0.412,5.00E-20,1
0.413,5.00E-20,1
0.414,2.00E-20,1
0.415,6.00E-20,1
0.416,7.00E-20,1
0.417,8.00E-20,1
0.418,5.00E-20,1
0.419,9.00E-20,1
0.42,9.00E-20,1
0.421,9.00E-20,1
0.422,1.00E-19,1
0.423,1.20E-19,1
0.424,1.00E-19,1
0.425,8.00E-20,1
0.426,1.50E-19,1
0.427,1.50E-19,1
0.428,1.30E-19,1
0.429,1.20E-19,1
0.43,1.80E-19,1
0.431,1.40E-19,1
0.432,1.60E-19,1
0.433,1.90E-19,1
0.434,2.00E-19,1
0.435,1.70E-19,1
0.436,1.60E-19,1
0.437,2.00E-19,1
0.438,2.30E-19,1
0.439,2.20E-19,1
0.44,2.10E-19,1
0.441,2.00E-19,1
0.442,2.30E-19,1
0.443,1.90E-19,1
0.444,2.10E-19,1
0.445,2.20E-19,1
0.446,2.60E-19,1
0.447,3.10E-19,1
0.448,2.60E-19,1
0.449,3.00E-19,1
0.45,3.10E-19,1
0.451,3.30E-19,1
0.452,3.60E-19,1
0.453,3.40E-19,1
0.454,3.80E-19,1
0.455,3.80E-19,1
0.456,3.80E-19,1
0.457,4.20E-19,1
0.458,3.90E-19,1
0.459,4.50E-19,1
0.46,4.20E-19,1
0.461,4.10E-19,1
0.462,4.20E-19,1
0.463,4.30E-19,1
0.464,5.10E-19,1
0.465,5.40E-19,1
0.466,5.80E-19,1
0.467,6.10E-19,1
0.468,6.00E-19,1
0.469,6.20E-19,1
0.47,6.30E-19,1
0.471,6.60E-19,1
0.472,6.90E-19,1
0.473,6.60E-19,1
0.474,6.60E-19,1
0.475,7.30E-19,1
0.476,8.40E-19,1
0.477,8.30E-19,1
0.478,7.80E-19,1
0.479,7.80E-19,1
0.48,7.50E-19,1
0.481,7.60E-19,1
0.482,7.60E-19,1
0.483,7.70E-19,1
0.484,8.30E-19,1
0.485,8.80E-19,1
0.486,9.80E-19,1
0.487,9.90E-19,1
0.488,1.02E-18,1
0.489,1.03E-18,1
0.49,1.11E-18,1
0.491,1.06E-18,1
0.492,1.07E-18,1
0.493,1.09E-18,1
0.494,1.09E-18,1
0.495,1.13E-18,1
0.496,1.29E-18,1
0.497,1.30E-18,1
0.498,1.28E-18,1
0.499,1.25E-18,1
0.5,1.21E-18,1
0.501,1.18E-18,1
0.502,1.18E-18,1
0.503,1.19E-18,1
0.504,1.35E-18,1
0.505,1.37E-18,1
0.506,1.43E-18,1
0.507,1.37E-18,1
0.508,1.36E-18,1
0.509,1.45E-18,1
0.51,1.62E-18,1
0.511,1.86E-18,1
0.512,1.89E-18,1
0.513,1.72E-18,1
0.514,1.69E-18,1
0.515,1.70E-18,1
0.516,1.67E-18,1
0.517,1.60E-18,1
0.518,1.54E-18,1
0.519,1.65E-18,1
0.52,1.80E-18,1
0.521,1.96E-18,1
0.522,2.06E-18,1
0.523,1.89E-18,1
0.524,1.76E-18,1
0.525,1.69E-18,1
0.526,1.75E-18,1
0.527,1.93E-18,1
0.528,2.25E-18,1
0.529,2.57E-18,1
0.53,2.39E-18,1
0.531,2.24E-18,1
0.532,2.16E-18,1
0.533,2.09E-18,1
0.534,2.18E-18,1
0.535,2.47E-18,1
0.536,2.75E-18,1
0.537,2.76E-18,1
0.538,2.51E-18,1
0.539,2.19E-18,1
0.54,2.25E-18,1
0.541,2.19E-18,1
0.542,2.01E-18,1
0.543,1.80E-18,1
0.544,1.83E-18,1
0.545,2.10E-18,1
0.546,2.60E-18,1
0.547,3.12E-18,1
0.548,3.20E-18,1
0.549,2.90E-18,1
0.55,2.65E-18,1
0.551,2.61E-18,1
0.552,2.64E-18,1
0.553,2.71E-18,1
0.554,2.98E-18,1
0.555,3.34E-18,1
0.556,3.49E-18,1
0.557,3.52E-18,1
0.558,3.76E-18,1
0.559,3.99E-18,1
0.56,3.55E-18,1
0.561,3.20E-18,1
0.562,3.11E-18,1
0.563,3.00E-18,1
0.564,2.91E-18,1
0.565,2.92E-18,1
0.566,3.05E-18,1
0.567,3.01E-18,1
0.568,3.05E-18,1
0.569,3.10E-18,1
0.57,2.99E-18,1
0.571,2.96E-18,1
0.572,2.94E-18,1
0.573,2.98E-18,1
0.574,3.06E-18,1
0.575,3.30E-18,1
0.576,3.50E-18,1
0.577,3.62E-18,1
0.578,3.54E-18,1
0.579,3.47E-18,1
0.58,3.58E-18,1
0.581,3.80E-18,1
0.582,3.51E-18,1
0.583,3.14E-18,1
0.584,3.02E-18,1
0.585,3.10E-18,0.983
0.586,3.55E-18,0.967
0.587,4.46E-18,0.943
0.588,5.40E-18,0.885
0.589,6.56E-18,0.854
0.59,6.38E-18,0.793
0.591,5.83E-18,0.763
0.592,5.48E-18,0.734
0.593,4.90E-18,0.68
0.594,4.49E-18,0.654
0.595,4.60E-18,0.608
0.596,4.95E-18,0.587
0.597,4.67E-18,0.567
0.598,3.93E-18,0.531
0.599,3.33E-18,0.509
0.6,2.96E-18,0.472
0.601,3.07E-18,0.438
0.602,3.55E-18,0.415
0.603,4.08E-18,0.371
0.604,4.68E-18,0.351
0.605,4.67E-18,0.323
0.606,3.55E-18,0.296
0.607,2.58E-18,0.28
0.608,1.98E-18,0.259
0.609,1.84E-18,0.238
0.61,1.89E-18,0.226
0.611,2.04E-18,0.21
0.612,2.39E-18,0.193
0.613,2.82E-18,0.181
0.614,2.73E-18,0.166
0.615,2.42E-18,0.147
0.616,2.24E-18,0.137
0.617,2.26E-18,0.124
0.618,2.56E-18,0.108
0.619,2.74E-18,0.099
0.62,3.50E-18,0.09
0.621,5.62E-18,0.077
0.622,1.09E-17,0.07
