Wavelength,X,yield
0.585,3.10E-18,0
0.586,3.55E-18,0.015
0.587,4.46E-18,0.039
0.588,5.40E-18,0.097
0.589,6.56E-18,0.128
0.59,6.38E-18,0.19
0.591,5.83E-18,0.22
0.592,5.48E-18,0.249
0.593,4.90E-18,0.303
0.594,4.49E-18,0.328
0.595,4.60E-18,0.359
0.596,4.95E-18,0.357
0.597,4.67E-18,0.318
0.598,3.93E-18,0.323
0.599,3.33E-18,0.314
0.6,2.96E-18,0.291
0.601,3.07E-18,0.296
0.602,3.55E-18,0.291
0.603,4.08E-18,0.283
0.604,4.68E-18,0.28
0.605,4.67E-18,0.264
0.606,3.55E-18,0.271
0.607,2.58E-18,0.268
0.608,1.98E-18,0.25
0.609,1.84E-18,0.248
0.61,1.89E-18,0.236
0.611,2.04E-18,0.205
0.612,2.39E-18,0.2
0.613,2.82E-18,0.19
0.614,2.73E-18,0.166
0.615,2.42E-18,0.166
0.616,2.24E-18,0.16
0.617,2.26E-18,0.141
0.618,2.56E-18,0.143
0.619,2.74E-18,0.139
0.62,3.50E-18,0.131
0.621,5.62E-18,0.127
0.622,1.09E-17,0.122
0.623,1.58E-17,0.117
0.624,1.29E-17,0.106
0.625,8.98E-18,0.099
0.626,7.83E-18,0.092
0.627,8.06E-18,0.085
0.628,7.89E-18,0.074
0.629,7.48E-18,0.07
0.63,7.24E-18,0.065
0.631,5.18E-18,0.058
0.632,3.50E-18,0.051
0.633,2.33E-18,0.047
0.634,1.76E-18,0.043
0.635,1.54E-18,0.037
0.636,1.81E-18,0.032
0.637,2.22E-18,0.029
0.638,2.17E-18,0.027
0.639,1.69E-18,0.024
0.64,1.32E-18,0.02
0.641,1.08E-18,0.017
0.642,9.90E-19,0.014
0.643,1.04E-18,0.011
0.644,1.02E-18,0.008
0.645,9.20E-19,0.004
0.646,8.00E-19,0.001
0.647,7.50E-19,0
