# min,Kelvin,Kelvin,m2,m3/s,m3/s,m3/s,"[0,1]",Pascal,m/s
Time,Ti,To,OpenWindowArea,QBal,QUnbal,QFilter,RH,BP,Wind
Uncertainty,0.1,0.1,0,0.05,0.05,0.05,0.01,5,0.05
0,295.15,303.544,0,0,0,0,0.55,101325,1.41057
60,295.15,302.149,0,0,0,0,0.55,101325,1.72956
120,295.15,300.758,0,0,0,0,0.55,101325,1.56496
180,295.15,299.871,0,0,0,0,0.55,101325,1.66234
240,295.15,299.267,0,0,0,0,0.55,101325,1.73551
300,295.15,298.781,0,0,0,0,0.55,101325,1.64778
301,295.15,298.781,0,0,0,0.55,0.55,101325,1.64778
360,295.15,298.423,0,0,0,0.55,0.55,101325,1.47458
420,295.15,298.159,0,0,0,0.55,0.55,101325,1.32937
421,295.15,298.159,0,0,0,0,0.55,101325,1.32937
480,295.15,297.937,0,0,0,0,0.55,101325,1.24359
540,295.15,297.755,0,0,0,0,0.55,101325,1.18455
600,295.15,297.57,0,0,0,0,0.55,101325,1.1589
660,295.15,297.5,0,0.2,0,0,0.55,101325,1.14313
720,295.15,298.081,0,0.2,0,0,0.55,101325,1.39861
780,295.15,299.408,0,0,0,0,0.55,101325,1.49979
840,295.15,301.077,0,0,0,0,0.55,101325,1.53017
900,295.15,302.866,0,0,0,0,0.55,101325,1.82539
960,295.15,304.276,0,0,0,0,0.55,101325,2.15953
1020,295.15,305.27,0,0,0,0,0.55,101325,2.29046
1080,295.15,305.713,0,0,0,0,0.55,101325,2.32844
1140,295.15,305.912,0,0,0,0,0.55,101325,2.29276
1200,295.15,305.976,0,0,0,0,0.55,101325,2.25607
1260,295.15,305.546,0,0,0,0,0.55,101325,2.30233
1320,295.15,304.964,0,0,0,0,0.55,101325,2.12659
1380,295.15,304.474,0,0,0,0,0.55,101325,1.80982
1440,295.15,303.544,0,0,0,0,0.55,101325,1.41057
1500,295.15,302.149,0,0,0,0,0.55,101325,1.72956
1560,295.15,300.758,0,0,0,0,0.55,101325,1.56496
1620,295.15,299.871,0,0,0,0,0.55,101325,1.66234
1680,295.15,299.267,0,0,0,0,0.55,101325,1.73551
1740,295.15,298.781,0,0,0,0,0.55,101325,1.64778
1800,295.15,298.423,0,0,0,0,0.55,101325,1.47458
1860,295.15,298.159,0,0,0,0,0.55,101325,1.32937
1920,295.15,297.937,0,0,0,0,0.55,101325,1.24359
1980,295.15,297.755,0,0,0,0,0.55,101325,1.18455
2040,295.15,297.57,0,0,0,0,0.55,101325,1.1589
2100,295.15,297.5,0,0,0,0,0.55,101325,1.14313
2160,295.15,298.081,0,0,0,0,0.55,101325,1.39861
2220,295.15,299.408,0,0,0,0,0.55,101325,1.49979
2280,295.15,301.077,0,0,0,0,0.55,101325,1.53017
2340,295.15,302.866,0,0,0,0,0.55,101325,1.82539
2400,295.15,304.276,0,0,0,0,0.55,101325,2.15953
2460,295.15,305.27,0,0,0,0,0.55,101325,2.29046
2520,295.15,305.713,0,0,0,0,0.55,101325,2.32844
2580,295.15,305.912,0,0,0,0,0.55,101325,2.29276
2640,295.15,305.976,0,0,0,0,0.55,101325,2.25607
2700,295.15,305.546,0,0,0,0,0.55,101325,2.30233
2760,295.15,304.964,0,0,0,0,0.55,101325,2.12659
2820,295.15,304.474,0,0,0,0,0.55,101325,1.80982
2880,295.15,303.544,0,0,0,0,0.55,101325,1.41057
