"time","H2SO4","HCOOH","CCO_OH","RCO_OH","CCO_OOH","RCO_OOH","XN","XC","SO2","O1D","ALK1","BACL","PAN","PAN2","PBZN","MA_PAN","H2O2","N2O5","HONO","ALK2","ALK3","TBU_O","ALK5","ARO2","HNO4","COOH","HOCOO","BZNO2_O","MEOH","ALK4","ARO1","DCB2","DCB3","CRES","DCB1","NPHE","ROOH","BALD","PHEN","CO","MGLY","ACET","HNO3","ETHENE","GLY","BZ_O","ISOPRENE","R2O2","TERP","METHACRO","OLE1","ISOPROD","OLE2","MVK","CCHO","HCHO","RNO3","O3P","RCHO","MEK","PROD2","O3","HO2","RO2_N","MA_RCO3","C_O2","BZCO_O2","RO2_R","NO","NO2","NO3","CCO_O2","RCO_O2","OH","CH4","CO2","NH3","Tracer","PM25","PM25_10","UFP"
0,-3.18766929395404e-08,0.000258950233460965,0.000467804527755692,3.59807843940335e-06,6.33549261025979e-07,1.19885595245091e-06,0,1.96945936087288e-09,-0.00010428489430706,3.6006174403913e-09,2.55095839966675e-05,2.02241940379063e-07,6.13260929522963e-06,4.28821552222824e-06,8.65020679537653e-09,1.318741547696e-06,1.5861786447812e-05,0.000488386142625664,-6.78050857825775e-05,1.64010368035636e-05,0.000867996932701647,5.59206004932095e-08,7.41097950346925e-05,4.93088374562931e-05,8.49343332467142e-08,7.79256369093089e-06,0,7.11952978960157e-07,-0.00019883899272518,4.06194492868914e-05,0.000188854858196129,1.52693582369865e-07,2.53729869542684e-07,-4.39327786191148e-07,4.27486061982849e-07,-7.11952978960157e-07,-1.49127622604977e-05,7.51705528908322e-06,1.92232557557125e-05,-0.00269480716086431,4.98557778940841e-06,6.03520207985378e-05,-0.00031414252598618,1.21054044937868e-05,5.03241813026636e-06,6.38631462039946e-07,1.7791576002913e-05,1.3406383078614e-05,4.65365705866648e-05,-4.68273995429009e-06,2.77870160541368e-06,6.24013038998102e-06,1.55062557777739e-05,-9.83938532735178e-06,3.44551800031997e-05,0.000119536457641878,-1.61026549021324e-05,3.97278480439678e-05,4.30752825368788e-05,-4.80033054748053e-05,2.19220686231828e-07,-7.90450750485694e-05,8.41894385982961e-06,4.10646440354463e-06,9.79081600195956e-08,2.33233496187613e-07,5.3775240703911e-09,1.21141025910882e-05,-0.000387551246765557,-0.00115557361638296,-0.00082870136711855,8.51935742814258e-07,4.94368119317877e-07,-1.99615310767928e-05,0.012455600600461,-3.03830758901093,-0.000532759487096298,0.461318540757816,-0.147232725276017,-2.14755151184011,-17.1109839325035
5,-5.1343695193079e-08,0.000178017989092798,0.000341300306065451,2.63961641967817e-06,4.57188806632528e-07,8.66912868521813e-07,3.2320348264508e-08,1.02108270704513e-07,-8.04348770811259e-05,-2.06092048307302e-22,2.44612428953026e-05,1.52977543038112e-07,5.02188127525683e-06,3.54659387558309e-06,7.76658541715014e-09,1.09468944006765e-06,1.04717256937576e-05,-8.95754788815444e-07,-3.9673303413889e-05,1.58180065352441e-05,0.000829854107630631,1.36001866457013e-14,7.13275811480868e-05,4.76656909433088e-05,1.55014600652365e-07,7.40743969257852e-06,1.30461876910132e-12,1.87810229146947e-15,-0.00014400667361008,3.91746116194727e-05,0.000180544274962578,9.00998489074166e-08,1.89418179278441e-07,-5.10777712125602e-08,1.00675517232553e-07,9.85623572522829e-08,-1.1335434077924e-05,7.06749169108116e-06,1.83823836927474e-05,-0.00252866832645927,4.05444575922543e-06,6.39414133731597e-05,-8.2228345475726e-05,1.22188554288647e-05,4.72795506200372e-06,9.22620785848894e-12,2.06839754146688e-05,1.27959387664254e-08,5.40542495891174e-05,-4.11447521214354e-06,4.20082994447251e-06,2.71261058678627e-06,1.92759137527535e-05,-8.58793523796365e-06,2.76770567109957e-05,9.27962641875726e-05,-1.68569260608722e-05,-2.90298776040955e-13,3.25408842086864e-05,-3.78353036582278e-05,1.58406465576176e-07,-1.20639485842796e-05,1.31411898226237e-08,4.14761970846270e-09,3.41505434232315e-11,2.16028235214216e-09,4.50604860362304e-13,1.00679375367496e-08,-4.68028822754675e-05,-0.00103577793064883,-1.53382521585775e-08,2.7749403265977e-10,1.50058075526293e-10,2.27515165319186e-11,0.0118955948257626,-2.89126761359995,-0.000145779976939905,0.4405776020441,-0.133422750079822,-1.24374380332513,-14.193471001649
10,-3.78157150982365e-08,0.000122395869778755,0.000249054967470435,1.94083607917166e-06,3.28745229638693e-07,6.25166802520553e-07,2.812509093143e-08,9.24123599468882e-08,-6.21753787777729e-05,-1.1808151618932e-21,2.34602432311835e-05,1.47681322493515e-07,4.04013841588678e-06,2.90446688292801e-06,6.90534284567219e-09,9.01402175258846e-07,6.81582407531254e-06,-1.89964626568174e-07,-2.30751974749748e-05,1.52442491098873e-05,0.00079332059068827,8.04132543432992e-15,6.83624028484982e-05,4.56303785107575e-05,1.74592283901868e-07,7.04336208619585e-06,1.9489647067013e-12,-1.90884065553377e-14,-0.000104405363028904,3.76171887084032e-05,0.000172546508333943,8.91303476476987e-08,1.77993912372485e-07,-3.96732559753305e-08,1.0896858064866e-07,1.6880262967062e-07,-8.63721599743819e-06,6.75586006647556e-06,1.74805445907811e-05,-0.00237964457713652,3.44299726956872e-06,6.92147973715365e-05,-2.1092672508337e-05,1.20453035519844e-05,4.5039543107385e-06,1.48084063038012e-11,1.95182407483502e-05,2.60261938647936e-08,5.11298403371056e-05,-3.60832954590499e-06,4.40996386005947e-06,2.642947847672e-06,1.83471786418681e-05,-7.27289405786619e-06,2.40806115757887e-05,7.51282249103226e-05,-1.40134732749449e-05,-2.14379446881954e-13,2.89939880650554e-05,-2.96787404273252e-05,2.49066292626275e-07,-5.09243278938182e-06,1.86331083995189e-08,8.34806425817502e-09,3.9976666487475e-11,2.94192096548665e-09,6.30586413550745e-13,1.84231800676394e-08,-3.07753402400476e-05,-0.000824113670825772,-1.88259661671029e-09,3.19789439885691e-10,1.7645262617328e-10,2.02108816387637e-11,0.011362841132914,-2.75306082247349,-3.99079661335813e-05,0.420846002375652,-0.120934227069304,-0.720416841976471,-8.7822780508529
15,-2.81388462124869e-08,8.41587676169816e-05,0.000181775537955349,1.43013279700447e-06,2.35179548336052e-07,4.49061400877574e-07,2.64368899169506e-08,8.99711173805527e-08,-4.81682238641643e-05,4.11596532311911e-19,2.25098901239515e-05,1.42445644845914e-07,3.23625559525953e-06,2.37349304991048e-06,6.23468611820412e-09,7.41785145811157e-07,4.33704104059426e-06,-1.64726235925566e-07,-1.32943901410047e-05,1.47029318361311e-05,0.000758557761744082,1.71562507927921e-14,6.55575123357441e-05,4.36981980161631e-05,1.70355027982956e-07,6.69828479732295e-06,2.54207307169024e-12,-9.69947428002048e-17,-7.57581186370102e-05,3.61452893309907e-05,0.000164938272500877,8.82469385083814e-08,1.67075347012175e-07,-3.06735453521818e-08,1.16762893705776e-07,2.25792527022289e-07,-6.56583694251058e-06,6.45913569816209e-06,1.66312467217934e-05,-0.00223993256697747,2.92345463435502e-06,7.53160540434e-05,-5.49231667574472e-06,1.18920759051654e-05,4.29090584816708e-06,1.5743414958044e-11,1.84094207070446e-05,3.45801381848072e-08,4.83871599401985e-05,-3.16286196375944e-06,4.62254860474934e-06,2.58158444688496e-06,1.74627298949642e-05,-6.1594712914454e-06,2.09483508229186e-05,6.27181113844483e-05,-1.16323212016169e-05,1.21532271166833e-11,2.58411523375483e-05,-2.32901960810763e-05,3.35433065750308e-07,-4.55521774300577e-06,2.29477909209209e-08,1.10505342852125e-08,4.52135887347007e-11,3.83198739290472e-09,7.84647080407418e-13,2.43356341671556e-08,-2.12857279187848e-05,-0.000651569213953619,-2.89480148550274e-09,3.55639257519981e-10,1.99840860384406e-10,1.02111879033486e-11,0.0108555770168654,-2.62258345569538,-1.09382638417044e-05,0.402058461766441,-0.109633583779373,-0.417347293494991,-0.548690219104762
20,-2.12067257235295e-08,5.78693790980223e-05,0.000132698708586624,1.05580751638955e-06,1.67001981424057e-07,3.20725319160552e-07,2.40035665846183e-08,8.50469570958466e-08,-3.74195399826684e-05,-3.15397510400703e-22,2.16062512422195e-05,1.37018244452469e-07,2.57445878128667e-06,1.93156485057169e-06,5.60267211479555e-09,6.09429061900189e-07,2.65775966934508e-06,-1.37457836063295e-07,-7.52770327376791e-06,1.41902867233764e-05,0.000725463186240559,1.28855222020214e-14,6.28978547230525e-05,4.18639974232207e-05,1.42201481738326e-07,6.37047422052625e-06,2.92992001452725e-12,-4.76031303179412e-16,-5.50321191630949e-05,3.47501657445613e-05,0.000157696839563313,8.69916874897563e-08,1.56348460330298e-07,-2.3708706614793e-08,1.21803534099883e-07,2.57546303899356e-07,-4.97496565890842e-06,6.17597470621464e-06,1.58455528928702e-05,-0.00210790660481632,2.48083994736229e-06,8.19875969106058e-05,-1.52528651884258e-06,1.17552678408497e-05,4.08764696063505e-06,1.41728116993126e-11,1.73696024585605e-05,4.23401546042315e-08,4.59092663196631e-05,-2.77183626404202e-06,4.83835462703662e-06,2.51717761034896e-06,1.66348228981384e-05,-5.21840015413405e-06,1.82118506582825e-05,5.39285240634604e-05,-9.69194414077445e-06,-1.52419433017927e-13,2.29905317184247e-05,-1.8287560239618e-05,4.14415525619913e-07,-6.64018914939019e-06,2.50784868036726e-08,1.34312001402408e-08,4.94149985028673e-11,4.82000061593719e-09,8.73309898922079e-13,2.94446638524907e-08,-1.5030012126946e-05,-0.000513314277255381,-3.48901331670626e-09,3.81427163855563e-10,2.17927283535663e-10,7.67370776902678e-14,0.0103724232019523,-2.49885861282131,-3.00996054318817e-06,0.384163892494879,-0.0994036147626548,-0.241810650967859,10.4429540515223
25,-1.61927558015333e-08,3.97940953185455e-05,9.68995225488597e-05,7.80393658287785e-07,1.17302034739094e-07,2.27145601200898e-07,2.10638015531229e-08,7.83736062515893e-08,-2.91688397765687e-05,-6.38246243075791e-22,2.0746051453885e-05,1.31322037865118e-07,2.02811184424518e-06,1.56222289318342e-06,4.93828937929698e-09,4.99337457821978e-07,1.5218842825987e-06,-1.07222347209336e-07,-4.12678895596824e-06,1.37029021152794e-05,0.000693955782828651,1.88091432318563e-15,6.03691549148291e-05,4.01219244408382e-05,1.06720620042988e-07,6.05843208407709e-06,3.10529850338987e-12,2.22499136862496e-16,-4.00368003335582e-05,3.34235837615421e-05,0.000150803710504828,8.52047354796386e-08,1.45732805347039e-07,-1.88200353207284e-08,1.23416665224044e-07,2.67488097596391e-07,-3.75285441679024e-06,5.90567910908758e-06,1.51186521192415e-05,-0.00198209628942576,2.103224205166e-06,8.89209755547664e-05,-5.22384746730985e-07,1.16302005243994e-05,3.89351344056997e-06,1.17397846334386e-11,1.63969512549929e-05,4.95846162638167e-08,4.36719560820512e-05,-2.42946426144037e-06,5.0534331794604e-06,2.44991437276067e-06,1.58602007250348e-05,-4.42388657735961e-06,1.58200696029573e-05,4.75528655112e-05,-8.11590923868142e-06,-1.2314106719278e-13,2.04131476918291e-05,-1.43714622720291e-05,4.84326242537686e-07,-9.60948567733116e-06,2.52586670271341e-08,1.55705646276532e-08,5.21689776481886e-11,5.8732121746612e-09,8.94494977123043e-13,3.37637152478109e-08,-1.07401494180165e-05,-0.000403095662157877,-3.51053227641188e-09,3.94462572466893e-10,2.28948583726113e-10,-7.23690186395736e-12,0.00991233361107067,-2.38102127756451,-8.40167513337759e-07,0.36712354898928,-0.0901411717616797,-0.140131482015177,23.7255153269343
30,-1.25172121057776e-08,2.73682850678746e-05,7.07899930554735e-05,5.76794111066688e-07,8.10449764700512e-08,1.58842631022606e-07,1.7956424721946e-08,7.09844821002782e-08,-2.28337858962043e-05,-3.60059515294706e-19,1.99265987096643e-05,1.25399243319508e-07,1.57661648042293e-06,1.25283750880756e-06,4.23886912419399e-09,4.0749631973257e-07,7.5566037442539e-07,-8.02067362114943e-08,-2.1224316655518e-06,1.32377160543682e-05,0.000663973058131182,2.25505967330543e-14,5.79582353073865e-05,3.84660434179636e-05,7.26699915390566e-08,5.76085585748821e-06,3.08844944965853e-12,1.57019132362233e-15,-2.91891454592756e-05,3.21580432543989e-05,0.000144244008448659,8.29361424670058e-08,1.35301994152666e-07,-1.56393504912158e-08,1.22024816996845e-07,2.62217220741872e-07,-2.81415245956211e-06,5.647874205231e-06,1.44426719480882e-05,-0.00186116094689482,1.78094111138152e-06,9.57551018652766e-05,-2.70054967998326e-07,1.15119921948596e-05,3.70822867110505e-06,9.15309991490325e-12,1.5487661134719e-05,5.63147382683558e-08,4.16340663788549e-05,-2.13028146667428e-06,5.26271008159599e-06,2.38091457813805e-06,1.51339928684028e-05,-3.75363749909146e-06,1.37306215598616e-05,4.26970425729138e-05,-6.83047498649437e-06,7.19412122915741e-11,1.80936687955157e-05,-1.13072787961922e-05,5.44841731792506e-07,-1.26028161683631e-05,2.38486647717523e-08,1.74776663037928e-08,5.31459640034662e-11,6.93374862296243e-09,8.65814230272412e-13,3.72689919070185e-08,-7.71924747202308e-06,-0.000315570831192774,-3.19564552421932e-09,3.9305542126164e-10,2.3168828500714e-10,-1.21622176651622e-11,0.009474550854784,-2.26830533049785,-2.47885206730465e-07,0.350909379577511,-0.0817552045408366,-0.081232856882058,38.4541828341181
35,-9.78336211298632e-09,1.88297740240972e-05,5.17551191419023e-05,4.25432766958712e-07,5.45613816762425e-08,1.08908361426741e-07,1.49502451566527e-08,6.37023814987646e-08,-1.79681891295914e-05,1.56025089709453e-22,1.91457176596452e-05,1.19347039993836e-07,1.20347568363855e-06,9.93387183240031e-07,3.53586387154789e-09,3.30625481434973e-07,2.41168251037704e-07,-5.8759842121187e-08,-9.44832160521477e-07,1.27920034353776e-05,0.000635469160093873,1.12542604336023e-15,5.56533192311978e-05,3.68909923659457e-05,4.39641177872848e-08,5.47661803066146e-06,2.91305652125898e-12,-7.53731263411221e-16,-2.13447071512598e-05,3.09469058895747e-05,0.000138006266582653,8.03265558978732e-08,1.25190791923673e-07,-1.36477308177392e-08,1.18505990224234e-07,2.48040220926401e-07,-2.09368649825504e-06,5.40237839693087e-06,1.38102635576903e-05,-0.00174387068238176,1.50600253450019e-06,0.000102081098140561,-2.04672080690186e-07,1.1395882127864e-05,3.53176184554522e-06,6.67690189013611e-12,1.46380353162727e-05,6.23577385465045e-08,3.97571338010708e-05,-1.86927086542748e-06,5.46105781465455e-06,2.31098105620758e-06,1.44516067145525e-05,-3.18860128038848e-06,1.19072681943504e-05,3.86947348839609e-05,-5.77410222598183e-06,-1.12301814334753e-13,1.60190596404699e-05,-8.91124152564307e-06,5.96417752806201e-07,-1.52312821815353e-05,2.12945759212556e-08,1.91194153734009e-08,5.21998763562917e-11,7.92955480343934e-09,7.96917992382924e-13,3.99381735862214e-08,-5.58064938824822e-06,-0.000246310296057733,-2.74594030670949e-09,3.7669386463736e-10,2.25707123591145e-10,-1.28939644099589e-11,0.00905856648487527,-2.16003222223477,-8.87204108634693e-08,0.335502553712323,-0.0741651017985528,-0.047118467672022,53.4628845056406
40,-7.72018996440978e-09,1.29673542653257e-05,3.78883244976501e-05,3.12173190637849e-07,3.51763522343008e-08,7.23073892089527e-08,1.22072824201221e-08,5.70293821620653e-08,-1.42300087447419e-05,8.03421667885691e-22,1.84016899780304e-05,1.13268033158533e-07,8.95223562691186e-07,7.75703702936042e-07,2.86570016353354e-09,2.66026000677906e-07,-1.01634113298105e-07,-4.28692114177095e-08,-2.59046533662455e-07,1.23633578612538e-05,0.000608413130534203,-1.40064005423439e-15,5.34441862222528e-05,3.53923839321666e-05,2.17371390082192e-08,5.20475120699829e-06,2.6141416416967e-12,1.61050194709345e-15,-1.56757784126823e-05,2.97844261214926e-05,0.000132082257653423,7.7518061275978e-08,1.15530480792384e-07,-1.23682259627832e-08,1.13729769566681e-07,2.29623477962899e-07,-1.54169360747877e-06,5.16912386974742e-06,1.32160331463379e-05,-0.0016290913225837,1.2716303084186e-06,0.000107452500187579,-1.84115839003204e-07,1.12773747078806e-05,3.36417681195369e-06,4.7366481093442e-12,1.38453705521826e-05,6.7285776529765e-08,3.80128616069104e-05,-1.64197418827008e-06,5.64371862932095e-06,2.24024652460504e-06,1.38094228562094e-05,-2.71268283601821e-06,1.03183569050842e-05,3.50467967484112e-05,-4.89926124836273e-06,7.8962220587424e-14,1.41743120407198e-05,-7.03954220466836e-06,6.39746607727938e-07,-1.73030445620846e-05,1.80774201303848e-08,2.03897169404613e-08,4.95210384003341e-11,8.78068811822011e-09,7.10451643352692e-13,4.16854117987129e-08,-4.052080098207e-06,-0.000191754238294032,-2.29056183272842e-09,3.47796967901141e-10,2.1210378131564e-10,-1.32807806770744e-11,0.00866408560487554,-2.05560104214023,-4.92201046827254e-08,0.320892150496338,-0.0672992956454112,-0.0273628002705941,67.348470245614
45,-6.13995181026451e-09,8.94857991449862e-06,2.77993402754417e-05,2.26825269417551e-07,2.09404145860843e-08,4.53695342804429e-08,9.79166282212741e-09,5.11737145035034e-08,-1.13569401509767e-05,-5.31347279771493e-20,1.76931991169109e-05,1.07258377942897e-07,6.40803339951992e-07,5.93033432456203e-07,2.25982659193384e-09,2.11466576717159e-07,-3.27058331960278e-07,-3.15490412631975e-08,1.31577260919148e-07,1.19496685399548e-05,0.000582786941124653,-2.26042496593528e-13,5.13221079389868e-05,3.39667934192739e-05,5.72587983931007e-09,4.94442905375872e-06,2.23132459828229e-12,-6.65016722352689e-15,-1.15836474969378e-05,2.86656863227069e-05,0.000126466652896543,7.4631858915006e-08,1.0643454630068e-07,-1.14110633116756e-08,1.08447953065905e-07,2.09841528237574e-07,-1.12020049917041e-06,4.94813050963481e-06,1.26566963862105e-05,-0.00151577179407513,1.07201108408461e-06,0.000111400640204699,-1.73600084713748e-07,1.11522408994352e-05,3.20556642354125e-06,2.70665599152795e-12,1.31079249218983e-05,6.9852581414181e-08,3.63835914033142e-05,-1.44447886593804e-06,5.80626725568181e-06,2.16827539499865e-06,1.32047288736777e-05,-2.31233124788927e-06,8.93614895722793e-06,3.13791093269129e-05,-4.17037171670219e-06,7.73768104779982e-13,1.25421477299348e-05,-5.57964121807258e-06,6.75575732306684e-07,-1.87374750875701e-05,1.46567019954219e-08,2.09342617230607e-08,4.53074598633634e-11,9.3458673888174e-09,5.81967406766924e-13,4.20418020832977e-08,-2.9289062007253e-06,-0.000149054253389497,-1.88750885686798e-09,3.08640020732041e-10,1.91813521039821e-10,-1.05903757553942e-12,0.0082909944917123,-1.9544796483806,-4.38798751872186e-08,0.307073959175058,-0.0610940432751365,-0.0159298393162129,78.579982058979
