"","HCOOH.O","CCO_OH.O","RCO_OH.O","CCO_OOH.O","RCO_OOH.O","SO2.O","ALK1.O","BACL.O","PAN.O","PAN2.O","MA_PAN.O","H2O2.O","N2O5.O","HONO.O","ALK2.O","ALK3.O","ALK5.O","ARO2.O","HNO4.O","COOH.O","MEOH.O","ALK4.O","ARO1.O","DCB2.O","DCB3.O","CRES.O","NPHE.O","ROOH.O","BALD.O","PHEN.O","CO.O","MGLY.O","ACET.O","HNO3.O","ETHENE.O","GLY.O","ISOPRENE.O","TERP.O","METHACRO.O","OLE1.O","ISOPROD.O","OLE2.O","MVK.O","CCHO.O","HCHO.O","RNO3.O","RCHO.O","MEK.O","PROD2.O","O3.O","HO2.O","RO2_N.O","RO2_R.O","NO.O","NO2.O","NO3.O","CO.S","ACET.S","HCHO.S","NO2.S","UFP.S","To","a","LightFlux"
"H2SO4 median",0.00148965535653911,0.0021305358489625,0,0,0,0.000110228967554839,-0.000850399732288979,0,0.00187646055510846,0.00303874027370137,0.00808405024012964,0.000295666775111757,0,-0.000318021520724011,-0.000465851740474734,-9.12745222426581e-05,-0.000213134783223735,-0.000533989334042998,0,0.000109513891942434,1.66949962925875e-05,-3.0831469594127e-05,-0.00015254392945488,0,0,0,0,-0.00073265643129014,0,0,-1.50514605166068e-07,-5.74114541973614e-05,-0.000310850890532252,0.000508140915906587,-0.000217397478888209,0.000538303990471001,6.16195229394294e-05,-2.91495282055505e-05,-0.000265213676121469,-0.000283856381416578,-0.000228797251232175,-4.09098696841372e-05,-0.000171597938424131,4.16847850021436e-05,3.7228703829447e-05,0.000126742587902271,0,4.54989764892045e-05,-0.000132724225957205,1.64193670291965e-05,0,0,0,-1.80718687740128e-05,-4.10021937779947e-05,0,0,0,0,0,0,2.56130976861271e-08,3.78565445517969e-07,0
"H2SO4 min",-0.463434504497254,-0.188855253834736,-0.640268066586345,-0.0217034712576387,-0.235725585585001,-0.137837017403108,-0.270488906742424,-0.678494640985384,-0.00938409150821375,-0.00625606100547583,-0.388121207532231,-0.0594090929410728,-0.206756808656313,-0.261322273230334,-0.265843834784448,-0.237636371764291,-0.130661136615167,-0.266990072155329,-0.0217034712576387,-0.677656125013799,-0.303233148069818,-0.0792121239214304,-0.258907712735226,-0.182265735485014,-0.612712055695614,-0.678494640985384,-0.189671951318554,-0.62772635243536,-0.678494640985384,-0.678494640985384,-0.00792865644484387,-0.309444430400904,-0.297861668258,-0.24811201991623,-0.225601604220147,-0.678494640985384,-0.426953095061568,-0.678494640985384,-0.51343695193079,-0.266990072155329,-0.525214589440456,-0.595046224991457,-0.288751148845911,-0.297861668258,-0.316179990766606,-0.677656125013799,-0.320915446104796,-0.426953095061568,-0.303233148069818,-0.0369868161050323,0,-0.173462421970983,-0.189671951318554,-0.0187681830164275,-0.0838909417520105,-0.186450260212141,-0.00100262816304186,-0.0394951501485223,-0.0733481359901129,-0.308809474216894,-0.000383133328600245,-4.16867077752854e-05,-0.0384705564223421,-0.000959921185947614
"H2SO4 max",0.525214589440456,0.665838077793012,0.328947664767117,0.678494640985384,0.677656125013799,0.191538310430404,0.250639945771139,0.51343695193079,0.026601460281335,0.0838909417520105,0.612712055695614,0.0835466485903798,0.51343695193079,0.000825451534058048,0.250639945771139,0.0577058346335131,0.124330988786379,0.116864793830849,0.678494640985384,0.665838077793012,0.463434504497254,0.256743187945653,0.256743187945653,0,0.51343695193079,0.040819187149871,0,0.496224039832461,0.0217034712576387,0.040819187149871,0.00160627911915152,0.288751148845911,0.237636371764291,0.551348069612433,0.220041490168946,0.463823526165832,0.39243282117745,0.128359237982698,0.0316170172953204,0.05320292056267,0.307393373040692,0.307393373040692,0.281388462124869,0.167424808896772,0.671815121670565,0.678494640985384,0.279634435756615,0.297861668258,0.288751148845911,0.261322273230334,0.628884557326017,0,0.678494640985384,0.0135091741549258,0.00241831457103046,0.0319957612962275,7.6224259991112e-06,7.49018068445535e-06,1.65998598952794e-05,5.70684250195237e-05,1.18799771010704e-08,0.000364815600002222,0.0339480531091844,0.00404106157691927
"HCOOH median",0,0,0,0,0,-0.0153236334938874,0.131489234830501,0,-0.14919163834519,-0.192262288204928,-0.489128982417647,-0.0756237939339971,0,0.0781544166715712,0.0811628277880744,0.0142483480652889,0.0242068992874452,0,0,-0.590381326216476,-0.0307709370681141,0.0272611389804348,0.0570307397209949,0,0,0,0,0.365946619184184,0,0,-8.46658903480353e-05,0.705046237139353,0.0690406599335708,-0.0665556237854382,0.0711829154869411,0,-0.137932230937897,0,0.286482854593664,0.063406018722485,0.230829209521517,0,0.0302868515734875,0.00742536616526742,0.0452204748751737,0.0962266202554496,0.148094864571106,0,0.222165482021652,-0.00240665848151964,0,0,0,0.00230378458870981,0.000424721749560335,0,0,0,0,0,0,-3.07996413134997e-05,-0.000651815472099003,0
"HCOOH min",-199.192487277665,-647.375583652412,-863.167444869883,-2589.50233460965,-2589.50233460965,-71.8497946920452,-71.4675006658139,-2589.50233460965,-193.899531989775,-225.405541869382,-1294.75116730482,-166.37588003405,-2589.50233460965,-6.55764821012608,-75.1351806231272,-15.0270361246254,-30.6289288567774,-28.1730586800966,-18.5334599589486,-647.375583652412,-63.9220341499014,-22.5405541869382,-225.405541869382,-30.413173923381,-2589.50233460965,-160.184094155121,0,-7.3309704695613,-184.022216073614,-160.184094155121,-0.458964056495591,-1294.75116730482,-44.9516767985876,-60.2209845258058,-22.4758383992938,-863.167444869883,-134.855030395763,-647.375583652412,-30.6850080699588,-3.42981793801569,-23.8438087675465,-96.9497659948877,-1294.75116730482,-143.861240811647,-47.0818606292663,-27.6999331413965,-16.8568787994704,-258.950233460965,-178.455575981625,-0.980500694664766,-18.5334599589486,0,-2589.50233460965,-19.9192487277665,-0.608896565186823,0,-0.000122769810928918,-0.0254197994780729,-0.0563357718162697,-0.000919166647268862,-4.03176703520693e-05,-0.12486674207245,-1.00955256709928,-7.25531281023167
"HCOOH max",16.7292923703286,36.8044432147229,149.983926250359,184.022216073614,184.022216073614,134.855030395763,225.405541869382,145.075030292516,6.07685074376493,9.79048175384351,46.0055540184036,45.4372427376259,225.405541869382,34.5266977947953,89.2931839520568,18.7645096710844,55.0957943533968,107.895930608735,178.455575981625,149.983926250359,43.3521238513163,112.692234720387,136.289596558403,41.9491312104079,183.274261739033,145.075030292516,5.25789427904961,172.633488973977,59.5628502307977,145.075030292516,1.44988932508939,17.1744483963388,83.1879400170251,3.40077326137176,166.37588003405,92.0111080368072,6.54420515721151,214.402501997442,2589.50233460965,29.7643946506856,258.950233460965,2589.50233460965,225.405541869382,4.95335842537926,2.58358715181058,517.90046692193,22.2878741965401,225.384469440773,215.791861217471,1.79147321152178,13.260675262818,5.25789427904961,4.43557101723412,4.43401668813552,5.12121045594668,5.25789427904961,0.00379413341429413,235.409303146332,431.583722434941,0.535519493384342,3.11238261371352,0.0276164594302109,0.126078720871117,16.8596189548226
"CCO_OH median",0,-0.88899689851026,0,0,0,-0.0563568218456287,0.377731866384021,0,-0.466317029373814,-0.618526064022751,-2.74788772539101,-0.207685907590386,0,0.238809391246186,0.232062985625883,0.0440587475863862,0.0930022923126203,0.0896050345236199,0,-1.40348853143863,-0.0764576450260717,0.0955315990299186,0.222865893904264,0,0,0,0,1.21318170570448,0,0,6.70717569573172e-05,1.75744725654712,0.204574534619259,-0.196932119412643,0.233122777754737,0,-0.386572638983159,0,0.778347951318604,0.185769713523306,0.822016736796212,0,0.173540765542784,0.0401434584074296,0.012479272312752,0.0159303085795127,0.399505698188035,-0.00577218394543413,0.619261337141466,-0.00705002881543448,0,0,0,0.00712819339724699,0.00511888499604712,0,0,0,0,0,0,-8.4405626528495e-05,-0.00201246124052902,0
"CCO_OH min",-359.849636735148,-1169.51131938923,-1559.34842585231,-4678.04527755692,-4678.04527755692,-179.375996003354,-186.835042260883,-4678.04527755692,-503.915767035174,-592.339165674743,-2339.02263877846,-429.374844081969,-4678.04527755692,-19.3068469842974,-197.446388558248,-39.4892777116495,-80.07216096895,-74.4018754939126,-46.8622120793623,-1169.51131938923,-170.966678102176,-59.2339165674743,-592.339165674743,-59.7651079923178,-4678.04527755692,-433.535118616564,0,-18.4679407138648,-471.607055834706,-433.535118616564,-1.22596206470699,-2339.02263877846,-115.032418421168,-108.791750640859,-57.516209210584,-1559.34842585231,-345.097255263504,-1169.51131938923,-113.54815697165,-8.66320495077682,-63.5146512258683,-251.957883517587,-2339.02263877846,-259.891404308718,-85.0553686828531,-71.9879667193105,-43.137156907938,-560.50512678265,-465.863345114024,-1.90825527663142,-46.8622120793623,0,-4678.04527755692,-35.9849636735148,-1.52013555935045,-3.99946198776133,-0.000358464756722258,-0.0708474225545669,-0.157013206742554,-0.00268379372833942,-0.000112369219525619,-0.32975900495917,-1.82379932848223,-24.949959720054
"CCO_OH max",42.873368712246,94.3214111669412,408.676381132365,471.607055834706,471.607055834706,345.097255263504,592.339165674743,348.763836378234,15.0629948473899,24.2681583652393,117.901763958676,110.977551399992,592.339165674743,62.3739370340923,198.4050013171,33.8988788228762,118.467833134949,194.918553231538,465.863345114024,408.676381132365,92.4943868960085,297.607501975651,246.212909345101,124.90710206145,461.69851784662,348.763836378234,16.604003462667,433.535118616564,171.007488785446,348.763836378234,2.61928626962874,38.9624123662305,214.687422040984,9.28544756997808,429.374844081969,235.803527917353,19.0528957511731,560.50512678265,4678.04527755692,53.7706353742175,467.804527755692,4678.04527755692,595.215003951301,12.4783383201789,6.93505035753522,935.609055511384,86.3581473414756,595.215003951301,389.837106463077,4.11027968148119,57.4690929905746,16.604003462667,13.9728941905601,16.2211652816643,12.9674821288455,16.604003462667,0.0112862025476347,425.276843414266,779.674212926154,2.73997747220299,5.62265057398669,0.0725727965786257,0.0641263195461928,46.4582039423177
"RCO_OH median",0.0390783641082334,0.0775579698964515,0,0,0,0.0027927587064008,-0.0223889177561182,0,0.0195198543364653,0.0258853192091877,0.138589497845083,0.0131604042601218,0,-0.0178202377245506,-0.0130478479125199,-0.00244687625749925,-0.006715518013981,-0.0129245579225794,0,0.0375510853645655,-0.000624860103841152,-0.00658241386618003,-0.0166580144468498,0,0,0,0,-0.0488479551352917,0,0,-4.12275288235773e-05,-0.0268844859427505,-0.0124143780045828,0.0127829448702562,-0.0109183095601539,-0.00917079324470195,0.0168769835470501,-0.107534830918224,-0.0180303003746988,-0.0119483145464693,-0.00408347281263351,-0.028837453819769,-0.0570895623499302,-0.00122683395542713,-0.000588896126057161,0.000769478024601482,-0.0100607183823587,0,-0.0287843210395892,0.000515542237343871,0,0,0,-0.003209104689059,-0.000582113509049567,0,0,0,0,0,0,4.30868861186301e-06,7.58215941677356e-05,0
