"time","H2SO4","HCOOH","CCO_OH","RCO_OH","CCO_OOH","RCO_OOH","XN","XC","SO2","O1D","ALK1","BACL","PAN","PAN2","PBZN","MA_PAN","H2O2","N2O5","HONO","ALK2","ALK3","TBU_O","ALK5","ARO2","HNO4","COOH","HOCOO","BZNO2_O","MEOH","ALK4","ARO1","DCB2","DCB3","CRES","DCB1","NPHE","ROOH","BALD","PHEN","CO","MGLY","ACET","HNO3","ETHENE","GLY","BZ_O","ISOPRENE","R2O2","TERP","METHACRO","OLE1","ISOPROD","OLE2","MVK","CCHO","HCHO","RNO3","O3P","RCHO","MEK","PROD2","O3","HO2","RO2_N","MA_RCO3","C_O2","BZCO_O2","RO2_R","NO","NO2","NO3","CCO_O2","RCO_O2","OH","CH4","CO2","NH3","Tracer","PM25","PM25_10","UFP"
0,409820.546661366,3329176161.28943,6014297269.14024,46258452.0848359,8145183.22157902,15413010.4629588,0,25320.2210602937,1340731689.90593,46291.0945793013,327962241.20384,2600109.82698878,78843476.5989818,55131152.8098143,111210.798571195,16954311.5092547,203925984.58684,6278903408.59089,871731499.078065,210858820.311067,11159343854.6109,718939.417813063,952787567.13203,633935733.543689,1091952.51049116,100184568.009232,0,9153175.31803054,2556360060.64949,522221202.287538,2427999710.39619,1963094.71365766,3262060.90567559,5648187.96736133,5495945.64104276,9153175.31803054,191724919.313925,96642512.8760616,247142487.376575,34645605988.897,64096743.6287503,775911673.230538,4038752136.97418,155632314.073801,64698943.3027447,8210522.19515879,228736193.472464,172358257.252406,598294272.048385,60203329.485278,35724189.2406882,80225814.281006,199355128.575326,126499391.932382,442970691.188351,1536812382.31559,207022693.577648,510758391.215136,553794456.355264,617151249.928904,2818395.9246151,1016237660.81176,108237582.28279,52794481.8459691,1258749.6368567,2998550.66799559,69135.774479249,155744140.573424,4982526390.36289,14856554036.8863,10654143073.6147,10952854.2531906,6355810.28731786,256634074.105651,160134586632.254,39061796009250.2,6849386310.39753,5930910616009.39,1892887573798.92,27609850753183.1,219986207553986
5,294793.607805229,1022103396.75692,1959600846.64155,15155552.1014339,2624983.20871805,4977444.08935285,185569.660200462,586262.157301721,461822771.402544,1.18329267560526e-09,140446027.840207,878331.831314386,28833501.2416878,20363029.9703088,44592.422240731,6285240.05236244,60124184.3930554,5143042.09914581,227787193.791778,90820249.6387495,4764668484.03616,0.0780864733836147,409532560.981297,273676075.49215,890027.747651426,42530360.6092853,7.4905647579031,0.0107832626430087,826824923.720487,224923918.121688,1036608253.15846,517314.919041972,1087558.42841861,293266.785683754,578035.897709258,565903.034032209,65083229.6994472,40578524.118929,105543809.974462,14518535452.0456,23278898.9674001,367124334.654046,472120102.292746,70155458.4565834,27145902.2383911,52.9729519999865,118758568.375632,73468.8249457708,310356455.523057,23623562.4929559,24119374.5493063,15574653.4884613,110674078.629281,49308262.7356012,158909859.732187,532796585.984508,96785282.6194782,1.66677180535481,186835883.568115,217234182.811969,909502.389948171,69266049.398329,75451.1093153028,23813.8640599169,196.077860512085,12403.4202460714,2.58718099624978,57805.8049475212,268722195.97331,5946995281.75298,88065.704547555,1593.25242806487,861.569493554262,130.629507990471,68299433893.2672,16600425967362.7,837006475.405972,2529608754031.87,766056547184.941,7141046657994.27,81492859213199.5
10,97681.1766562547,316158838.905893,643329954.528134,5013343.03524094,849176.612628323,1614858.49779643,72649.4783612952,238708.908022589,160604239.329707,3.05014500261697e-09,60599783.912874,381473.292620375,10436017.7585631,7502482.55114348,17837.0820868482,2328397.72806247,17605847.564406,490694.627829755,59605178.2989049,39377179.2078129,2049213893.29165,0.020771420777333,176585843.529417,117867110.34347,450986.572178629,18193597.408072,5.03433996468239,0.0493069616156831,269687844.944717,97168366.2729032,445702161.606717,230231.193867183,459773.264978015,102479.361170028,281475.020336703,436031.407737813,22310656.2833009,17450955.4798584,45153718.7590894,6146822338.66341,8893551.89084944,178787650.364735,54484149.3566116,31114033.4404113,11634093.2740807,38.2513605362618,50417259.5336644,67227.8504847154,132072683.364589,9320619.08367734,11391308.024802,6826956.85989438,47392307.494504,18786497.8203673,62202247.5897846,194062531.682186,36197981.5793945,0.55376016473434,74893912.8294865,76662685.8459665,643359.208359387,13154182.7416853,48130.8881373877,21563.7529905811,103.263096073868,7599.22960049595,1.62885780948664,47588.6255775446,79495295.5096866,2128755012.45039,4862.90559921003,826.043053506493,455.791992929839,52.2064092826529,29351175540.0571,7111387946700.16,103085637.274329,1087080664648.11,312383292698.733,1860897370959.05,22685363783315.4
15,44803.3081228682,133999495.512764,289427127.705029,2277089.82368924,374458.202327475,715005.731140341,42093.4147695746,143254.050422681,76694536.7703019,6.55353319045871e-07,35840756.7751577,226805.181299866,5152839.44138498,3779129.38006093,9927.00841725738,1181087.10633615,6905534.95391865,262280.842944383,21167629.0241331,23410341.0064975,1207792845.22803,0.0273165710028852,104382155.642319,69577260.3946874,271243.133117989,10665160.7319994,4.0475463081085,0.00015443722586065,120623791.980375,57551348.1561288,262618452.381005,140508.773779655,266021.150810363,48839.1134894766,185912.523367647,359511.974429551,10454274.2583835,10284382.1209611,26480647.6327125,3566471354.75671,4654790.66828658,119919926.724203,8744990.98056694,18934832.5434618,6832077.45583881,25.0670217941775,29311896.5174633,55059.2790594861,77043131.7482091,5035980.43936608,7360126.56267385,4110457.21439938,27804553.9693561,9807249.66690807,33354438.5401512,99861197.1515325,18521245.2225188,19.3506434160165,41144867.9056137,37083177.5895426,534084.122921156,7252920.83994821,36537.9923400318,17594.9109200857,71.9900998116443,6101.37709950131,1.2493328491771,38747.7477833698,33891617.991844,1037443256.75957,4609.16847585462,566.256879011088,318.19114315243,16.2584846045042,17284495542.7604,4175736764619.54,17416151.3776509,640166587140.827,174561074664.881,664509811223.302,873636991542.522
20,24357.2252336884,66466531.3825558,152412606.047797,1212659.69180655,191812.018934388,368372.701131911,27569.5685102716,97681.6466827298,42978636.8429141,3.62253385983619e-10,24816104.7972855,157373.857933685,2956923.81785611,2218520.70575184,6435.01257052462,699966.657662218,3052599.99715209,157878.755861603,8646028.93072274,16298414.6802259,833238966.560727,0.014799812598137,72242044.0655476,48083368.8195702,163327.12387663,7316880.3830287,3.36519284687831,0.000546751149658259,63207764.3205161,39912696.8011453,181124492.765173,99915.2888225299,179575.796511582,27230.9037493337,139898.829881047,295807.726942984,5714053.2048023,7093485.76097846,18199589.4036454,2421060026.63693,2849396.84486936,94167783.8604173,1751885.12218726,13501646.1388107,4694913.25506797,16.2783435432368,19950053.8092672,48630.2645476387,52729608.268603,3183623.96318767,5557147.0554944,2891132.87962414,19106114.4155279,5993652.65391863,20917427.5269617,61940217.6582435,11131792.3128154,0.175063067651674,26406035.8307273,21004384.6248644,475981.649852809,7626664.52212087,28804.1803133893,15426.5571799994,56.7561567093438,5536.06634798119,1.0030499844327,33819.0024587159,17262890.8118005,589572932.180893,4007.34579709595,438.092492985318,250.302851974668,0.0881372404889015,11913364252.5858,2870092387345.73,3457124.30342817,441235793688.139,114171148596.05,277734364385.823,11994373259412
25,14913.6085747748,36650559.5737986,89244941.8794685,718746.43801141,108035.757011653,209202.227669693,19399.8659221591,72182.4808917982,26864646.4097777,5.87827962097202e-10,19107216.501473,120948.249573225,1867901.08871236,1438815.04921378,4548.18906271837,459892.280471184,1401662.98837348,98752.3146984797,3800793.13949677,12620440.9546138,639136725.098269,0.00173233144021241,55600291.7245536,36952491.8248132,98290.2214845781,5579846.0611768,2.85999535563956,0.000204922810920073,36874092.0989227,30783286.7669529,138890966.902602,78473.9848630484,134220.638048763,17333.3460701114,113667.362079352,246357.867361034,3456397.57037681,5439159.81199553,13924353.7448523,1825520534.01623,1937079.94644541,81896660.4427729,481118.948106482,10711472.4876299,3585945.23038427,10.8123999967123,15101673.6023076,45667.6780254388,40222088.6108094,2237548.65975904,4654237.07495892,2256383.3139266,14607323.6964478,4074421.52543883,14570362.7335539,43796425.4840301,7474792.74668199,0.113413534922776,18800610.4820146,13236188.1818715,446066.876585305,8850384.07008226,23263.3578731287,14340.5674112041,48.0478877052906,5409.25760402102,0.823834319767367,31096.5495563349,9891730.99490128,371253108.321626,3233.21767469394,363.301989807872,210.862783536636,6.66522258570089,9129308522.27728,2192932430837.07,773798.455601661,338122613304.022,83020467213.9839,129061791420.307,21851317537143.1
30,10056.4072954375,21987853.1492769,56873127.7053656,463400.033288492,65112.0461764642,127615.173406299,14426.3050787806,57029.3814328353,18344807.8636504,2.89274089613779e-07,16009155.3090029,100746.544414517,1266663.64217907,1006537.57059488,3405.53423755387,327385.118027286,607102.319432374,64438.5986563419,1705175.01062964,10635264.7202193,533440150.197854,0.0181172919006528,46564012.4534488,30903862.3286152,58383.5303657943,4628307.99571321,2.48127980213744,0.0012615016306083,23450743.8927841,25835975.1402842,115886547.7894,66631.4208876971,108702.477004131,12564.753001443,98035.5089856703,210666.971956221,2260907.86715608,4537537.82241834,11603333.8987142,1495268464.42887,1430819.34171069,76930253.8645056,216963.867624644,9248807.26755203,2979214.3447053,7.35365830523999,12442884.8139885,45243.6165479012,33449071.9924601,1711481.59045019,4228094.53184119,1912841.81581851,12158745.494187,3015696.084024,11031268.1177425,34303073.7831524,5487646.76231541,57.7980245135954,14536567.8346593,9084339.22958676,437729.289889397,10125182.1402056,19160.1679647495,14041.6675406146,42.6978032816771,5570.61745438544,0.695600623223939,29942.1435811853,6201692.19287335,253531599.705777,2567.40180575498,315.783208951326,186.139832090707,9.7712025188247,7611914021.41898,1822370834745.99,199152.541343026,281922812763.707,65682647896.0894,65262990486.5876,30894333460613
35,7406.10324681738,14254327.7991921,39179144.2951366,322056.871685562,41303.5131804926,82444.7219527417,11317.4855347967,48223.3417305239,13602099.3923402,1.18112557844333e-10,14493500.3002219,90346.906328155,911043.163395756,752004.061402879,2676.68441553592,250286.805625421,182566.784957161,44481.7898479445,715247.422197238,9683674.90459071,481056527.957438,0.000851958802865859,42130120.8617458,27926851.2382955,33281.2781258163,4145854.7797818,2.20521300459901,0.000570582126339559,16158157.4012758,23427118.1563952,104472128.008246,60808.0084913983,94770.6851519717,10331.4691159985,89710.2232168226,187768.935088878,1584941.6788899,4089654.63242296,10454508.0303476,1320127597.6153,1140059.02384742,77276415.1675378,154938.817946887,8626797.07168271,2673579.14070851,5.05448170027142,11081139.5541592,47205.4335288716,30096549.0521321,1415056.79394686,4134075.54019533,1749435.83872804,10940011.232775,2413803.15097862,9013921.45322374,29292302.4160008,4371053.2994108,0.0850135998404972,12126588.8192737,6745899.21481436,451494.220954397,11530233.381439,16120.2075573455,14473.5892057226,39.5158299673517,6002.75251977179,0.603274913334756,30233.5979853232,4224607.56091124,186459364.612121,2078.7043540066,285.161033776287,170.862556404747,9.76086038501906,6857425686.62495,1635166057391.28,67162.2408908612,253978798256.492,56143725938.7243,35669152626.7449,40471939804401.8
40,5972.7622793635,10032256.301481,29312485.3703195,241514.297739543,27214.3549212132,55940.9611392258,9444.22304484276,44121.0571453899,11009115.0421718,6.21571056475659e-10,14236556.3909701,87630.3613027355,692594.036090938,600126.918925264,2217.06278208499,205812.301187384,78629.7229733886,33165.9726097594,200412.602797562,9564971.56422165,470701759.033978,0.00108361194756383,41347352.9785033,27381488.8883964,16817.0426541439,4026680.92701624,2.02244331582754,0.00124597261528352,12127641.7335007,23042865.2236591,102186077.016545,59972.2227682188,89380.7148495774,9568.73779449846,87987.5859065739,177649.313547418,1192738.71077459,3999117.66535725,10224647.9196965,1260354375.47815,983802.934180607,83131146.1119906,142442.108717693,8724795.44881601,2602711.65038392,3.66453070306961,10711537.8454562,52055.9662193995,29408834.1068143,1270321.26678217,4366290.1949235,1733177.55137119,10683726.7367233,2098680.18708592,7982846.69053591,27114123.6933841,3790337.14401682,0.0610895035994626,10966025.0179105,5446175.8503173,494943.055106587,13386584.0549256,13985.6834560707,15774.6030590319,38.3121907046286,6793.22180168268,0.549644347650865,32250.1203129554,3134911.35258362,148351593.247127,1772.10423268593,269.07480519694,164.095115559669,10.2747401597901,6703011703.66773,1590325681429.54,38079.3718795209,248259763174.739,52066425348.56,21169362679.8543,52104469515678.8
45,5363.95884696248,7817620.70508137,24285942.5966329,198158.136774449,18293.8768168036,39635.5415003926,8554.15124487131,44706.1649871767,9921602.23398086,4.64193373207756e-08,15457058.1116881,93702.6125051726,559815.915615553,518083.370174031,1974.22019178395,184740.540328444,285723.32282125,27561.7405846744,114947.972651262,10439419.1133559,509131873.561906,0.197474294075951,44835803.8354429,29673927.0428268,5002.21903523185,4319531.29041657,1.94932040010354,0.00580969108793059,10119657.3509618,25042796.1825178,110483264.789813,65199.5703326467,92982.9001748106,9968.885081734,94741.844115186,183320.872318308,978624.843252325,4322764.9407133,11057089.8033167,1324202172.27327,936525.809356433,97321358.2204871,151659.775029021,9742773.73577711,2800433.44124215,2.36457741039093,11451290.1766745,61024.3180464998,31785279.9212227,1261919.54458758,5072446.7514349,1894239.62061243,11535859.6374151,2020089.08823816,7806760.82453364,27413285.3620307,3643302.57894372,0.675976033589289,10957018.2885517,4874462.66671393,590193.6266082,16369354.0880382,12804.326282204,18288.5015785168,39.5813123095206,8164.69731553571,0.508415915407124,36728.3821104185,2558738.70232003,130216149.222763,1648.95753979555,269.632795320098,167.571320580812,0.925191947448796,7243143696.92448,1707464280682.62,38334.1517958837,268264659216.909,53372720837.081,13916559147.5888,68648713049305.7
50,5633.99621788986,7113925.94142651,23487911.0558218,185891.505367705,11968.8369699932,29161.3600718797,8841.33498650705,52956.7462259316,10494346.7522345,1.15557533525274e-09,19524630.7464437,116333.798430837,494490.430148782,504481.851127175,1995.9692090722,189405.168108127,541439.613260051,27103.555934402,392902.946414706,13249207.4916345,640810775.381667,0.00067449825433086,56534104.5591846,37412362.700051,5597.90785854645,5386074.22976666,2.13066192519244,2.94124558433189e-05,9906201.7273735,31647464.0623273,138991728.793261,82323.1322180977,112416.673024914,12033.9450130411,118438.663288033,218258.030132654,918053.221012644,5437169.39948097,13916269.2338307,1609451804.8396,1034992.9926149,130155784.843416,189294.398899682,12638233.7599107,3505934.87512632,1.92425670465505,14253714.1673506,78727.5289127766,39991074.6411837,1460834.1535462,6819669.75578661,2402568.77209348,14495578.7414378,2267066.82346585,8875116.58452686,31447489.7577909,4084960.24879139,0.172390095871016,12738886.1009302,5097573.25265754,808302.221492081,22429985.9105803,13113.1530199943,23342.8935028328,46.0507960980853,10850.7571825847,0.627362800588275,46410.5494496948,2398060.50004678,132963790.235996,1783.79144636626,303.307405757852,192.941125227383,11.0446257323549,9108051808.87517,2129440685664.65,56441.5925071025,337335351438.927,63661246357.9594,10694540613.9962,98234950601553.6
55,8213.2658828228,9027874.95676082,31624164.2488608,234479.522018168,5460.63477164712,21901.6432272304,12353.6649322282,87396.2149610396,15523837.0572732,3.8926022191368e-12,34139142.28906,199639.874738763,538411.233214388,648517.637417082,2741.05968236585,261387.638196582,1170038.38544944,37769.1382775742,920008.592720371,23260868.1708376,1116772976.84317,0.00182089488477343,98610570.1972982,65291323.2948633,22920.0660365632,9286980.11326849,3.11217918038976,0.0003251453530648,13582372.8633182,55324515.7444525,242093753.703676,143719.7819908,188125.942303002,19650.4771820605,205238.775054413,357660.905018585,1166649.4183237,9469600.53304734,24254935.4469535,2687991301.87248,1579647.12121762,235868430.250128,326569.237927506,22649111.0431193,6077375.21478102,1.32824865633752,24584957.8269936,130597.25385617,69690315.2911863,2346413.52105471,12620144.91883,4204566.55207712,25220956.4601474,3532127.79324282,13959050.0722047,47813455.312844,6357779.58011727,0.263016777099552,20514499.9165603,7424520.73041984,1515840.09407157,41269469.8914803,18110.5376148457,38290.3755744886,72.0027607618299,18750.3634534033,1.01711384602284,76205.3162371993,3034303.08685045,188525307.205436,2685.21414470546,456.011730650432,298.05405155675,15.8781433510058,15859876590.0304,3669040314037.82,122381.437862344,587403011808.804,105138511147.296,11492181125.4661,181590697036790
